Cars,Action,Position,Road,Time
0,Start,N1,0,0
0,Leave,N1,0,0
1,Start,N2,1,0.2647211915420436
1,Leave,N2,1,0.2647211915420436
2,Start,N2,1,0.5338598040117443
2,Leave,N2,1,0.5338598040117443
3,Start,W1,2,3.701039152039291
4,Start,S2,11,3.9084303332983876
5,Start,W1,2,4.102905952777997
6,Start,S2,11,4.695775690641649
7,Start,S1,10,4.7272192035810425
7,Leave,S1,10,4.7272192035810425
8,Start,N1,0,4.96909222773732
8,Leave,N1,0,4.96909222773732
9,Start,S2,11,5.0126100978263946
4,Leave,S2,11,5.2423315847729395
6,Leave,S2,11,5.342331584772939
9,Leave,S2,11,5.442331584772939
6,Arrival,S2,11,6.7423315847729395
6,Leave,S2,11,6.7423315847729395
9,Arrival,S2,11,6.842331584772939
9,Leave,S2,11,6.842331584772939
10,Start,W1,2,6.8859250854462735
11,Start,S1,10,7.724548695382174
11,Leave,S1,10,7.724548695382174
12,Start,N1,0,8.053689244881378
12,Leave,N1,0,8.053689244881378
9,Arrival,S2,11,8.24233158477294
9,Leave,S2,11,8.24233158477294
13,Start,S2,11,8.705023476837372
13,Leave,S2,11,8.705023476837372
14,Start,N2,1,9.241297031298556
14,Leave,N2,1,9.241297031298556
15,Start,N2,1,9.320607214545035
15,Leave,N2,1,9.320607214545035
16,Start,N2,1,9.45877226223372
16,Leave,N2,1,9.45877226223372
17,Start,S2,11,9.495499592580417
17,Leave,S2,11,9.495499592580417
18,Start,N2,1,10.352132260740268
19,Start,N1,0,12.434978007303908
19,Leave,N1,0,12.434978007303908
20,Start,S1,10,12.735619624038844
21,Start,N1,0,12.984396812633856
21,Leave,N1,0,12.984396812633856
22,Start,S1,10,13.179933310340795
23,Start,S1,10,13.280733923079325
24,Start,N2,1,14.276365119651347
25,Start,N1,0,14.87889896932949
25,Leave,N1,0,14.87889896932949
26,Start,N1,0,14.94906125966159
26,Leave,N1,0,14.94906125966159
27,Start,W1,2,16.72463143843912
28,Start,W1,2,18.19634464715949
29,Start,N1,0,18.40519800736255
29,Leave,N1,0,18.40519800736255
30,Start,S1,10,18.475197071164562
31,Start,N2,1,19.206113327898485
3,Leave,W1,2,20
5,Leave,W1,2,20.1
0,Arrival,A,6,20.1
10,Leave,W1,2,20.200000000000003
32,Start,N2,1,20.254694836768465
27,Leave,W1,2,20.300000000000004
1,Arrival,B,7,20.364721191542042
28,Leave,W1,2,20.400000000000006
33,Start,N1,0,20.53553315566592
2,Arrival,B,7,20.633859804011745
34,Start,N1,0,21.31070885171427
35,Start,S1,10,21.402492917785676
5,Arrival,W1,2,21.5
5,Leave,W1,2,21.5
10,Arrival,W1,2,21.6
10,Leave,W1,2,21.6
27,Arrival,W1,2,21.700000000000003
27,Leave,W1,2,21.700000000000003
36,Start,S1,10,21.744653746238505
28,Arrival,W1,2,21.800000000000004
28,Leave,W1,2,21.800000000000004
37,Start,S1,10,21.98074519746399
38,Start,S2,11,22.171879486281394
39,Start,S2,11,22.498497875410646
40,Start,N2,1,22.85991735808868
10,Arrival,W1,2,23.0
10,Leave,W1,2,23.0
27,Arrival,W1,2,23.1
27,Leave,W1,2,23.1
28,Arrival,W1,2,23.200000000000003
28,Leave,W1,2,23.200000000000003
41,Start,E2,9,23.28277095661287
41,Leave,E2,9,23.28277095661287
42,Start,S2,11,24.400387025546454
27,Arrival,W1,2,24.5
27,Leave,W1,2,24.5
28,Arrival,W1,2,24.6
28,Leave,W1,2,24.6
7,Arrival,C,4,24.82721920358104
8,Arrival,A,6,25.069092227737322
43,Start,N1,0,25.168963605203555
4,Arrival,D,5,25.34233158477294
44,Start,S2,11,25.425645777070258
28,Arrival,W1,2,26.0
28,Leave,W1,2,26.0
6,Arrival,D,5,26.84233158477294
45,Start,S1,10,27.079545897806206
11,Arrival,C,4,27.824548695382173
