Design #,n_days,demand_mean (default),lead_mean (default),backorder_cost (default),holding_cost (default),fixed_cost (default),variable_cost (default),s (default),S (default),warmup (default)
0,43,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
1,33,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
2,35,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
3,38,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
4,60,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
5,70,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
6,55,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
7,53,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
8,50,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
9,58,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
10,68,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
11,65,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
12,63,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
13,40,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
14,30,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
15,45,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
16,48,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
17,70,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
18,40,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
19,48,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
20,55,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
21,68,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
22,43,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
23,38,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
24,65,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
25,30,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
26,60,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
27,53,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
28,45,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
29,33,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
30,58,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
31,63,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
32,35,100.0,6.0,4.0,1.0,36.0,2.0,1000.0,2000.0,20
