DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
0,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
1,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
1,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
2,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
2,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
3,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
3,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
4,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
4,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
5,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
5,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
6,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,0,-0.052207012490555885,-0.025640802115839186,0.03,1,0.03,1,0.03,1,0.03,1
6,True,0.1,2.0,1.5,1.0,5,True,True,0.1,"(2.0, 2.0)",1000,1,-0.06696852908212851,-0.039959473209664594,0.03,1,0.03,1,0.03,1,0.03,1
