DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,cost,lambda,people,warmup,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
0,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
1,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
1,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
2,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
2,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
3,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
3,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
4,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
4,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
5,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,0,nan,nan,inf,0,inf,0,inf,0,inf,0
5,True,0.1,0.8,1.5,0.5,5,True,True,0.1,"(5.0,)",1000,0.1,1.5,50,20,1,nan,nan,inf,0,inf,0,inf,0,inf,0
