DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,cost,warmup,lambda,people,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
1,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
2,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
3,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
4,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
5,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
6,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
7,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
8,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
9,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
10,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
11,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
12,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
13,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
14,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
15,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
16,False,0.1,0.8,1.5,0.5,4,False,False,0.1,"(5.0,)",1000,0.1,20,1.5,50,0,nan,nan,inf,0,inf,0,inf,0,inf,0
