DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,fixed_cost,n_days,lead_mean,holding_cost,backorder_cost,warmup,demand_mean,variable_cost,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
5,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
5,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
6,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
6,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
7,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
7,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
8,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
8,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
9,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
9,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
10,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
10,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
11,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
11,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
12,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
12,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
13,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
13,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
14,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
14,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
15,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
15,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
16,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,0,-0.3509428548589096,-0.21897649475541942,0.12,1,0.12,1,0.104,1,0.056,1
16,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,36.0,100,6.0,1.0,4.0,20,100.0,2.0,1,0.39238564079076593,0.42015918744000885,inf,0,inf,0,inf,0,0.04,1
