DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,0,-0.06036909924436505,-0.030839763288445874,0.024,1,0.024,1,0.024,1,0.024,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,1,-0.07923640959128726,-0.046821162164747174,0.024,1,0.024,1,0.024,1,0.024,1
0,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,2,0.10212662087199888,0.13185256739768603,inf,0,inf,0,0.024,1,0.024,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,0,-0.06036909924436505,-0.030839763288445874,0.024,1,0.024,1,0.024,1,0.024,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,1,-0.07923640959128726,-0.046821162164747174,0.024,1,0.024,1,0.024,1,0.024,1
1,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,2,0.10212662087199888,0.13185256739768603,inf,0,inf,0,0.024,1,0.024,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,0,-0.06036909924436505,-0.030839763288445874,0.024,1,0.024,1,0.024,1,0.024,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,1,-0.07923640959128726,-0.046821162164747174,0.024,1,0.024,1,0.024,1,0.024,1
2,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,2,0.10212662087199888,0.13185256739768603,inf,0,inf,0,0.024,1,0.024,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,0,-0.06036909924436505,-0.030839763288445874,0.024,1,0.024,1,0.024,1,0.024,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,1,-0.07923640959128726,-0.046821162164747174,0.024,1,0.024,1,0.024,1,0.024,1
3,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,2,0.10212662087199888,0.13185256739768603,inf,0,inf,0,0.024,1,0.024,1
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,0,-0.06036909924436505,-0.030839763288445874,0.024,1,0.024,1,0.024,1,0.024,1
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,1,-0.07923640959128726,-0.046821162164747174,0.024,1,0.024,1,0.024,1,0.024,1
4,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,2,0.10212662087199888,0.13185256739768603,inf,0,inf,0,0.024,1,0.024,1
5,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,0,-0.06036909924436505,-0.030839763288445874,0.024,1,0.024,1,0.024,1,0.024,1
5,True,0.1,0.8,1.5,0.5,4,True,True,0.1,"(2.0, 2.0)",1000,1,-0.07923640959128726,-0.046821162164747174,0.024,1,0.024,1,0.024,1,0.024,1
