DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.45,0.9,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
0,True,0.45,0.9,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.0781595728524434,-0.0015941687328381929,0.084,1,0.084,1,0.084,1,0.084,1
1,True,0.25,0.45,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
1,True,0.25,0.45,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07815957285244343,-0.0015941687328381998,0.084,1,0.084,1,0.084,1,0.084,1
2,True,0.3,0.56,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
2,True,0.3,0.56,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.0781595728524434,-0.0015941687328381929,0.084,1,0.084,1,0.084,1,0.084,1
3,True,0.35,0.68,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
3,True,0.35,0.68,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.0781595728524434,-0.0015941687328381929,0.084,1,0.084,1,0.084,1,0.084,1
4,True,0.8,0.86,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
4,True,0.8,0.86,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07815957285244346,-0.0015941687328381998,0.084,1,0.084,1,0.084,1,0.084,1
5,True,1.0,0.49,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
5,True,1.0,0.49,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07815957285244343,-0.0015941687328381998,0.084,1,0.084,1,0.084,1,0.084,1
6,True,0.7,0.41,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
6,True,0.7,0.41,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07815957285244343,-0.0015941687328381998,0.084,1,0.084,1,0.084,1,0.084,1
7,True,0.65,0.83,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
7,True,0.65,0.83,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07815957285244346,-0.0015941687328381998,0.084,1,0.084,1,0.084,1,0.084,1
8,True,0.6,0.6,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
8,True,0.6,0.6,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07815957285244346,-0.0015941687328381998,0.084,1,0.084,1,0.084,1,0.084,1
9,True,0.75,0.3,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
9,True,0.75,0.3,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07815957285244343,-0.0015941687328381998,0.084,1,0.084,1,0.084,1,0.084,1
10,True,0.95,0.75,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
10,True,0.95,0.75,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07815957285244346,-0.0015941687328381998,0.084,1,0.084,1,0.084,1,0.084,1
11,True,0.9,0.64,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
11,True,0.9,0.64,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07815957285244346,-0.0015941687328381998,0.084,1,0.084,1,0.084,1,0.084,1
12,True,0.85,0.53,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
12,True,0.85,0.53,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07815957285244346,-0.0015941687328381998,0.084,1,0.084,1,0.084,1,0.084,1
13,True,0.4,0.34,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
13,True,0.4,0.34,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07815957285244343,-0.0015941687328381998,0.084,1,0.084,1,0.084,1,0.084,1
14,True,0.2,0.71,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
14,True,0.2,0.71,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.0781595728524434,-0.0015941687328381929,0.084,1,0.084,1,0.084,1,0.084,1
15,True,0.5,0.79,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
15,True,0.5,0.79,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.0781595728524434,-0.0015941687328381929,0.084,1,0.084,1,0.084,1,0.084,1
16,True,0.55,0.38,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,0,-0.02884197056422953,0.043580754963165845,0.084,1,0.084,1,0.084,1,0.084,1
16,True,0.55,0.38,1.5,0.75,7,True,False,0.1,"(2.0, 2.0)",500,1,-0.07815957285244343,-0.0015941687328381998,0.084,1,0.084,1,0.084,1,0.084,1
