DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,holding_cost,n_days,fixed_cost,lead_mean,demand_mean,variable_cost,backorder_cost,warmup,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,False,0.1,0.638,1.0,0.645,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.40950413869397184,0.4316791083642617,inf,0,inf,0,inf,0,0.044,1
1,False,0.1,0.9,1.0,0.645,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.40950413869397184,0.4316791083642617,inf,0,inf,0,inf,0,0.044,1
2,False,0.1,0.746,1.0,0.9,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.27767151430885045,0.31149009478570755,inf,0,inf,0,inf,0,0.044,1
3,False,0.5,0.746,1.0,0.9,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.4290488836598134,0.4757878941753788,inf,0,inf,0,inf,0,0.144,1
4,False,0.3,0.7,2.0,0.5,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.3937979570566523,0.4499451532325266,inf,0,inf,0,inf,0,0.044,1
5,False,0.3,0.7,1.0,0.9,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.27767151430885045,0.31149009478570755,inf,0,inf,0,inf,0,0.044,1
6,False,0.3,0.7,1.0,0.5,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.52224937279972,0.527689859075266,inf,0,inf,0,inf,0,0.044,1
7,False,0.5,0.587,3.0,0.9,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,-0.22826315120382376,-0.2005508756849818,0.084,1,0.084,1,0.084,1,0.064,1
8,False,0.5,0.737,1.633,0.49,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.8357895520605289,0.8378496674376611,inf,0,inf,0,inf,0,inf,0
9,False,0.1,0.5,1.74,0.514,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,-0.017756079788335613,0.04587710256568785,0.124,1,0.124,1,0.124,1,0.044,1
10,False,0.1,0.5,1.74,0.51,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,-0.26350170114905896,-0.16176058437785684,0.124,1,0.124,1,0.124,1,0.044,1
11,False,0.1,0.5,1.633,0.491,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.0,0.013946760624902022,0.124,1,0.124,1,0.124,1,0.044,1
12,False,0.1,0.572,1.0,0.9,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.27767151430885045,0.31149009478570755,inf,0,inf,0,inf,0,0.044,1
13,False,0.1,0.618,1.0,0.9,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.27767151430885045,0.31149009478570755,inf,0,inf,0,inf,0,0.044,1
14,False,0.5,0.618,1.0,0.9,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.4290488836598134,0.4757878941753788,inf,0,inf,0,inf,0,0.144,1
15,False,0.3,0.7,1.0,0.1,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.4010271001746916,0.41665025735074,inf,0,inf,0,inf,0,0.044,1
16,False,0.1,0.9,3.0,0.9,4,False,False,0.1,"(600.0, 600.0)",1000,1.0,100,36.0,6.0,100.0,2.0,4.0,20,0,0.27767151430885045,0.30882583501538874,inf,0,inf,0,inf,0,0.044,1
