Design #,eta_1,eta_2,lambda_min,crn_across_solns,gamma_1,gamma_2,easy_solve,reuse_points,ps_sufficient_reduction,Name,Design Type,Number Stacks
0,2.88,10.0,57,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
1,1.38,5.5,62,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
2,1.75,6.625,6,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
3,2.13,7.75,23,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
4,5.5,9.625,32,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
5,7.0,5.875,28,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
6,4.75,5.125,70,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
7,4.38,9.25,53,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
8,4.0,7.0,36,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
9,5.13,4.0,15,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
10,6.63,8.5,11,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
11,6.25,7.375,66,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
12,5.88,6.25,49,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
13,2.5,4.375,40,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
14,1.0,8.125,45,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
15,3.25,8.875,2,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
16,3.63,4.75,19,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
17,7.0,8.875,28,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
18,2.5,9.25,40,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
19,3.63,4.375,19,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
20,4.75,5.875,70,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
21,6.63,6.625,11,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
22,2.88,6.25,57,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
23,2.13,10.0,23,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
24,6.25,8.5,66,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
25,1.0,5.125,45,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
26,5.5,4.75,32,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
27,4.38,9.625,53,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
28,3.25,8.125,2,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
29,1.38,7.375,62,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
30,5.13,7.75,15,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
31,5.88,4.0,49,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
32,1.75,5.5,6,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
33,5.88,6.25,19,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
34,6.25,7.375,2,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
35,1.38,5.5,45,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
36,2.88,10.0,40,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
37,3.63,4.75,23,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
38,3.25,8.875,6,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
39,7.0,5.875,62,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
40,5.5,9.625,57,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
41,2.13,7.75,53,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
42,1.75,6.625,70,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
43,6.63,8.5,28,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
44,5.13,4.0,32,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
45,4.38,9.25,49,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
46,4.75,5.125,66,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
47,1.0,8.125,11,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
48,2.5,4.375,15,True,1.5,0.5,True,True,0.1,ASTRODF,nolhs,3
