Design #,lambda_min,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,easy_solve,reuse_points,delta_power,ps_sufficient_reduction,Name,Design Type,Number Stacks
0,23,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
1,5,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
2,10,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
3,14,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
4,53,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
5,70,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
6,44,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
7,40,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
8,36,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
9,48,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
10,66,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
11,61,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
12,57,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
13,18,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
14,1,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
15,27,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
16,31,TRUE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
17,23,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
18,5,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
19,10,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
20,14,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
21,53,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
22,70,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
23,44,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
24,40,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
25,36,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
26,48,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
27,66,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
28,61,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
29,57,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
30,18,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
31,1,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
32,27,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
33,31,FALSE,0.35,0.575,3.0,0.625,True,True,4,0.1,ASTRODF,nolhs,1
