Design #,gamma_1,gamma_2,eta_1,eta_2,crn_across_solns,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,Solver Name,Design Type,Number Stacks
0,1.6,0.9,0.4,0.7,True,4,True,True,0.1,ASTRODF,nolhs,1
1,1.1,0.3,0.5,0.7,True,4,True,True,0.1,ASTRODF,nolhs,1
2,1.3,0.5,0.1,0.6,True,4,True,True,0.1,ASTRODF,nolhs,1
3,1.4,0.6,0.2,0.9,True,4,True,True,0.1,ASTRODF,nolhs,1
4,2.5,0.9,0.3,0.6,True,4,True,True,0.1,ASTRODF,nolhs,1
5,3.0,0.4,0.3,0.8,True,4,True,True,0.1,ASTRODF,nolhs,1
6,2.3,0.3,0.5,0.6,True,4,True,True,0.1,ASTRODF,nolhs,1
7,2.1,0.8,0.4,0.9,True,4,True,True,0.1,ASTRODF,nolhs,1
8,2.0,0.5,0.3,0.7,True,4,True,True,0.1,ASTRODF,nolhs,1
9,2.4,0.1,0.2,0.8,True,4,True,True,0.1,ASTRODF,nolhs,1
10,2.9,0.7,0.2,0.7,True,4,True,True,0.1,ASTRODF,nolhs,1
11,2.8,0.6,0.5,0.8,True,4,True,True,0.1,ASTRODF,nolhs,1
12,2.6,0.4,0.4,0.5,True,4,True,True,0.1,ASTRODF,nolhs,1
13,1.5,0.2,0.3,0.9,True,4,True,True,0.1,ASTRODF,nolhs,1
14,1.0,0.7,0.4,0.6,True,4,True,True,0.1,ASTRODF,nolhs,1
15,1.8,0.8,0.1,0.8,True,4,True,True,0.1,ASTRODF,nolhs,1
16,1.9,0.2,0.2,0.5,True,4,True,True,0.1,ASTRODF,nolhs,1
