Solver Name:,ASTRODF
Design Factors:
Fixed Factors:,crn_across_solns,eta_2,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction
Design #,eta_1,gamma_1,crn_across_solns (fixed),eta_2 (fixed),gamma_2 (fixed),lambda_min (fixed),easy_solve (fixed),reuse_points (fixed),ps_sufficient_reduction (fixed)
0,0.38,5.0,True,0.8,0.5,4,True,False,0.1
0,0.16,1.3,True,0.8,0.5,4,True,False,0.1
0,0.21,2.2,True,0.8,0.5,4,True,False,0.1
0,0.27,3.1,True,0.8,0.5,4,True,False,0.1
0,0.78,4.7,True,0.8,0.5,4,True,False,0.1
0,1.0,1.6,True,0.8,0.5,4,True,False,0.1
0,0.66,0.9,True,0.8,0.5,4,True,False,0.1
0,0.61,4.4,True,0.8,0.5,4,True,False,0.1
0,0.55,2.5,True,0.8,0.5,4,True,False,0.1
0,0.72,0.0,True,0.8,0.5,4,True,False,0.1
0,0.94,3.8,True,0.8,0.5,4,True,False,0.1
0,0.89,2.8,True,0.8,0.5,4,True,False,0.1
0,0.83,1.9,True,0.8,0.5,4,True,False,0.1
0,0.33,0.3,True,0.8,0.5,4,True,False,0.1
0,0.1,3.4,True,0.8,0.5,4,True,False,0.1
0,0.44,4.1,True,0.8,0.5,4,True,False,0.1
0,0.49,0.6,True,0.8,0.5,4,True,False,0.1
