Solver Name:,ASTRODF
Design Type:,NOLH
Number of Stacks:,1
Design Factors:,eta_1
Fixed Factors:,crn_across_solns,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction
Design #,eta_1,crn_across_solns (fixed),eta_2 (fixed),gamma_1 (fixed),gamma_2 (fixed),lambda_min (fixed),easy_solve (fixed),reuse_points (fixed),ps_sufficient_reduction (fixed)
0,3.81,True,0.8,1.5,0.5,4,True,True,0.1
1,1.56,True,0.8,1.5,0.5,4,True,True,0.1
2,2.13,True,0.8,1.5,0.5,4,True,True,0.1
3,2.69,True,0.8,1.5,0.5,4,True,True,0.1
4,7.75,True,0.8,1.5,0.5,4,True,True,0.1
5,10.0,True,0.8,1.5,0.5,4,True,True,0.1
6,6.63,True,0.8,1.5,0.5,4,True,True,0.1
7,6.06,True,0.8,1.5,0.5,4,True,True,0.1
8,5.5,True,0.8,1.5,0.5,4,True,True,0.1
9,7.19,True,0.8,1.5,0.5,4,True,True,0.1
10,9.44,True,0.8,1.5,0.5,4,True,True,0.1
11,8.88,True,0.8,1.5,0.5,4,True,True,0.1
12,8.31,True,0.8,1.5,0.5,4,True,True,0.1
13,3.25,True,0.8,1.5,0.5,4,True,True,0.1
14,1.0,True,0.8,1.5,0.5,4,True,True,0.1
15,4.38,True,0.8,1.5,0.5,4,True,True,0.1
16,4.94,True,0.8,1.5,0.5,4,True,True,0.1
