Solver Name:,ASTRODF
Design Type:,NOLH
Number of Stacks:,1
Design Factors:,lambda_min
Fixed Factors:,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,easy_solve,reuse_points,ps_sufficient_reduction
Design #,lambda_min,crn_across_solns (fixed),eta_1 (fixed),eta_2 (fixed),gamma_1 (fixed),gamma_2 (fixed),easy_solve (fixed),reuse_points (fixed),ps_sufficient_reduction (fixed)
0,4,True,0.1,0.8,1.5,0.5,True,True,0.1
1,2,True,0.1,0.8,1.5,0.5,True,True,0.1
2,2,True,0.1,0.8,1.5,0.5,True,True,0.1
3,3,True,0.1,0.8,1.5,0.5,True,True,0.1
4,8,True,0.1,0.8,1.5,0.5,True,True,0.1
5,10,True,0.1,0.8,1.5,0.5,True,True,0.1
6,7,True,0.1,0.8,1.5,0.5,True,True,0.1
7,6,True,0.1,0.8,1.5,0.5,True,True,0.1
8,6,True,0.1,0.8,1.5,0.5,True,True,0.1
9,7,True,0.1,0.8,1.5,0.5,True,True,0.1
10,9,True,0.1,0.8,1.5,0.5,True,True,0.1
11,9,True,0.1,0.8,1.5,0.5,True,True,0.1
12,8,True,0.1,0.8,1.5,0.5,True,True,0.1
13,3,True,0.1,0.8,1.5,0.5,True,True,0.1
14,1,True,0.1,0.8,1.5,0.5,True,True,0.1
15,4,True,0.1,0.8,1.5,0.5,True,True,0.1
16,5,True,0.1,0.8,1.5,0.5,True,True,0.1
