Solver Name:,ASTRODF
Design Type:,NOLH
Number of Stacks:,1
Design Factors:,eta_1,gamma_1,lambda_min
Fixed Factors:,crn_across_solns,eta_2,gamma_2,easy_solve,reuse_points,ps_sufficient_reduction
Design #,eta_1,gamma_1,lambda_min,crn_across_solns (fixed),eta_2 (fixed),gamma_2 (fixed),easy_solve (fixed),reuse_points (fixed),ps_sufficient_reduction (fixed)
0,0.381,2,8,TRUE,0.8,0.5,FALSE,TRUE,0.1
1,0.156,0.88,9,TRUE,0.8,0.5,FALSE,TRUE,0.1
2,0.213,1.16,2,TRUE,0.8,0.5,FALSE,TRUE,0.1
3,0.269,1.44,4,TRUE,0.8,0.5,FALSE,TRUE,0.1
4,0.775,1.91,5,TRUE,0.8,0.5,FALSE,TRUE,0.1
5,1,0.97,4,TRUE,0.8,0.5,FALSE,TRUE,0.1
6,0.663,0.78,10,TRUE,0.8,0.5,FALSE,TRUE,0.1
7,0.606,1.81,8,TRUE,0.8,0.5,FALSE,TRUE,0.1
8,0.55,1.25,6,TRUE,0.8,0.5,FALSE,TRUE,0.1
9,0.719,0.5,3,TRUE,0.8,0.5,FALSE,TRUE,0.1
10,0.944,1.63,2,TRUE,0.8,0.5,FALSE,TRUE,0.1
11,0.888,1.34,9,TRUE,0.8,0.5,FALSE,TRUE,0.1
12,0.831,1.06,7,TRUE,0.8,0.5,FALSE,TRUE,0.1
13,0.325,0.59,6,TRUE,0.8,0.5,FALSE,TRUE,0.1
14,0.1,1.53,7,TRUE,0.8,0.5,FALSE,TRUE,0.1
15,0.438,1.72,1,TRUE,0.8,0.5,FALSE,TRUE,0.1
16,0.494,0.69,3,TRUE,0.8,0.5,FALSE,TRUE,0.1
