Solver Name:,ASTRODF
Design Type:,NOLH
Number of Stacks:,1
Design Factors:,eta_2,gamma_2
Fixed Factors:,eta_1,gamma_1,lambda_min,reuse_points,ps_sufficient_reduction
Design #,eta_2,gamma_2,crn_across_solns (cross),eta_1 (fixed),gamma_1 (fixed),lambda_min (fixed),easy_solve (cross),reuse_points (fixed),ps_sufficient_reduction (fixed)
0,3.81,30,True,0.1,1.5,4,True,TRUE,0.1
1,1.56,19,True,0.1,1.5,4,True,TRUE,0.1
2,2.13,22,True,0.1,1.5,4,True,TRUE,0.1
3,2.69,24,True,0.1,1.5,4,True,TRUE,0.1
4,7.75,29,True,0.1,1.5,4,True,TRUE,0.1
5,10.0,20,True,0.1,1.5,4,True,TRUE,0.1
6,6.63,18,True,0.1,1.5,4,True,TRUE,0.1
7,6.06,28,True,0.1,1.5,4,True,TRUE,0.1
8,5.5,23,True,0.1,1.5,4,True,TRUE,0.1
9,7.19,15,True,0.1,1.5,4,True,TRUE,0.1
10,9.44,26,True,0.1,1.5,4,True,TRUE,0.1
11,8.88,23,True,0.1,1.5,4,True,TRUE,0.1
12,8.31,21,True,0.1,1.5,4,True,TRUE,0.1
13,3.25,16,True,0.1,1.5,4,True,TRUE,0.1
14,1.0,25,True,0.1,1.5,4,True,TRUE,0.1
15,4.38,27,True,0.1,1.5,4,True,TRUE,0.1
16,4.94,17,True,0.1,1.5,4,True,TRUE,0.1
