Solver Name:,ASTRODF
Design Type:,NOLH
Number of Stacks:,1
Design Factors:,lambda_min
Fixed Factors:,eta_1,eta_2,gamma_1,gamma_2,easy_solve,reuse_points,ps_sufficient_reduction
Design #,lambda_min,crn_across_solns (cross),eta_1 (fixed),eta_2 (fixed),gamma_1 (fixed),gamma_2 (fixed),easy_solve (fixed),reuse_points (fixed),ps_sufficient_reduction (fixed)
0,7,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
1,2,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
2,3,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
3,5,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
4,15,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
5,20,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
6,13,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
7,12,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
8,11,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
9,14,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
10,19,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
11,18,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
12,16,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
13,6,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
14,1,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
15,8,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
16,9,True/False,0.1,0.8,1.5,0.5,TRUE,TRUE,0.1
