Design #,purchase_price,sales_price,salvage_price,order_quantity,Burr_c,Burr_k,Name,Design Type,Number Stacks
0,2.25,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
1,1.25,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
2,1.5,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
3,1.75,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
4,4.0,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
5,5.0,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
6,3.5,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
7,3.25,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
8,3.0,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
9,3.75,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
10,4.75,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
11,4.5,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
12,4.25,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
13,2.0,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
14,1.0,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
15,2.5,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
16,2.75,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
