Design #,budget,initial_solution,Name,Design Type,Number Stacks
0,1597,"(0.0,)",CNTNEWS-1,nolhs,1
1,359,"(0.0,)",CNTNEWS-1,nolhs,1
2,669,"(0.0,)",CNTNEWS-1,nolhs,1
3,978,"(0.0,)",CNTNEWS-1,nolhs,1
4,3763,"(0.0,)",CNTNEWS-1,nolhs,1
5,5000,"(0.0,)",CNTNEWS-1,nolhs,1
6,3144,"(0.0,)",CNTNEWS-1,nolhs,1
7,2834,"(0.0,)",CNTNEWS-1,nolhs,1
8,2525,"(0.0,)",CNTNEWS-1,nolhs,1
9,3453,"(0.0,)",CNTNEWS-1,nolhs,1
10,4691,"(0.0,)",CNTNEWS-1,nolhs,1
11,4381,"(0.0,)",CNTNEWS-1,nolhs,1
12,4072,"(0.0,)",CNTNEWS-1,nolhs,1
13,1288,"(0.0,)",CNTNEWS-1,nolhs,1
14,50,"(0.0,)",CNTNEWS-1,nolhs,1
15,1906,"(0.0,)",CNTNEWS-1,nolhs,1
16,2216,"(0.0,)",CNTNEWS-1,nolhs,1
