Design #,purchase_price,sales_price,salvage_price,order_quantity,Burr_c,Burr_k,Name,Design Type,Number Stacks
0,3,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
1,1,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
2,2,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
3,2,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
4,5,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
5,6,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
6,4,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
7,4,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
8,4,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
9,4,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
10,6,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
11,5,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
12,5,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
13,2,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
14,1,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
15,3,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
16,3,9.0,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
