Design #,purchase_price,sales_price,salvage_price,order_quantity,Burr_c,Burr_k,Name,Design Type,Number Stacks
0,31,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
1,9,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
2,15,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
3,20,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
4,69,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
5,90,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
6,58,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
7,52,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
8,47,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
9,63,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
10,85,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
11,79,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
12,74,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
13,26,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
14,4,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
15,36,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
16,42,14,1.0,0.5,2.0,20.0,CNTNEWS,nolhs,1
