DesignPt#,purchase_price,sales_price,salvage_price,order_quantity,Burr_c,Burr_k,MacroRep#,profit,stockout_qty,stockout
0,31,14.0,1.0,0.5,2.0,20.0,0,-13.926831414651518,0,0
0,31,14.0,1.0,0.5,2.0,20.0,1,-13.630176654911004,0,0
0,31,14.0,1.0,0.5,2.0,20.0,2,-12.948516057508561,0,0
0,31,14.0,1.0,0.5,2.0,20.0,3,-11.437372457462219,0,0
0,31,14.0,1.0,0.5,2.0,20.0,4,-13.936658654620842,0,0
1,9,14.0,1.0,0.5,2.0,20.0,0,-2.926831414651519,0,0
1,9,14.0,1.0,0.5,2.0,20.0,1,-2.6301766549110033,0,0
1,9,14.0,1.0,0.5,2.0,20.0,2,-1.9485160575085607,0,0
1,9,14.0,1.0,0.5,2.0,20.0,3,-0.4373724574622191,0,0
1,9,14.0,1.0,0.5,2.0,20.0,4,-2.9366586546208415,0,0
2,15,14.0,1.0,0.5,2.0,20.0,0,-5.926831414651518,0,0
2,15,14.0,1.0,0.5,2.0,20.0,1,-5.630176654911003,0,0
2,15,14.0,1.0,0.5,2.0,20.0,2,-4.948516057508561,0,0
2,15,14.0,1.0,0.5,2.0,20.0,3,-3.437372457462219,0,0
2,15,14.0,1.0,0.5,2.0,20.0,4,-5.9366586546208415,0,0
3,20,14.0,1.0,0.5,2.0,20.0,0,-8.426831414651518,0,0
3,20,14.0,1.0,0.5,2.0,20.0,1,-8.130176654911004,0,0
3,20,14.0,1.0,0.5,2.0,20.0,2,-7.448516057508561,0,0
3,20,14.0,1.0,0.5,2.0,20.0,3,-5.937372457462219,0,0
3,20,14.0,1.0,0.5,2.0,20.0,4,-8.436658654620842,0,0
4,69,14.0,1.0,0.5,2.0,20.0,0,-32.92683141465152,0,0
4,69,14.0,1.0,0.5,2.0,20.0,1,-32.630176654911004,0,0
4,69,14.0,1.0,0.5,2.0,20.0,2,-31.94851605750856,0,0
4,69,14.0,1.0,0.5,2.0,20.0,3,-30.437372457462217,0,0
4,69,14.0,1.0,0.5,2.0,20.0,4,-32.93665865462084,0,0
5,90,14.0,1.0,0.5,2.0,20.0,0,-43.42683141465152,0,0
5,90,14.0,1.0,0.5,2.0,20.0,1,-43.130176654911004,0,0
5,90,14.0,1.0,0.5,2.0,20.0,2,-42.44851605750856,0,0
5,90,14.0,1.0,0.5,2.0,20.0,3,-40.93737245746222,0,0
5,90,14.0,1.0,0.5,2.0,20.0,4,-43.43665865462084,0,0
6,58,14.0,1.0,0.5,2.0,20.0,0,-27.42683141465152,0,0
6,58,14.0,1.0,0.5,2.0,20.0,1,-27.130176654911004,0,0
6,58,14.0,1.0,0.5,2.0,20.0,2,-26.44851605750856,0,0
6,58,14.0,1.0,0.5,2.0,20.0,3,-24.937372457462217,0,0
6,58,14.0,1.0,0.5,2.0,20.0,4,-27.436658654620842,0,0
7,52,14.0,1.0,0.5,2.0,20.0,0,-24.42683141465152,0,0
7,52,14.0,1.0,0.5,2.0,20.0,1,-24.130176654911004,0,0
7,52,14.0,1.0,0.5,2.0,20.0,2,-23.44851605750856,0,0
7,52,14.0,1.0,0.5,2.0,20.0,3,-21.937372457462217,0,0
7,52,14.0,1.0,0.5,2.0,20.0,4,-24.436658654620842,0,0
8,47,14.0,1.0,0.5,2.0,20.0,0,-21.92683141465152,0,0
8,47,14.0,1.0,0.5,2.0,20.0,1,-21.630176654911004,0,0
8,47,14.0,1.0,0.5,2.0,20.0,2,-20.94851605750856,0,0
