DesignPt#,purchase_price,sales_price,salvage_price,order_quantity,Burr_c,Burr_k,MacroRep#,profit,stockout_qty,stockout
0,31,9.0,1.0,0.5,2.0,20.0,0,-14.339588562862474,0,0
0,31,9.0,1.0,0.5,2.0,20.0,1,-14.15703178763754,0,0
0,31,9.0,1.0,0.5,2.0,20.0,2,-13.737548343082192,0,0
0,31,9.0,1.0,0.5,2.0,20.0,3,-12.80761381997675,0,0
0,31,9.0,1.0,0.5,2.0,20.0,4,-14.345636095151287,0,0
1,9,9.0,1.0,0.5,2.0,20.0,0,-3.339588562862473,0,0
1,9,9.0,1.0,0.5,2.0,20.0,1,-3.157031787637541,0,0
1,9,9.0,1.0,0.5,2.0,20.0,2,-2.7375483430821914,0,0
1,9,9.0,1.0,0.5,2.0,20.0,3,-1.80761381997675,0,0
1,9,9.0,1.0,0.5,2.0,20.0,4,-3.345636095151287,0,0
2,15,9.0,1.0,0.5,2.0,20.0,0,-6.339588562862473,0,0
2,15,9.0,1.0,0.5,2.0,20.0,1,-6.157031787637541,0,0
2,15,9.0,1.0,0.5,2.0,20.0,2,-5.737548343082191,0,0
2,15,9.0,1.0,0.5,2.0,20.0,3,-4.8076138199767495,0,0
2,15,9.0,1.0,0.5,2.0,20.0,4,-6.345636095151287,0,0
3,20,9.0,1.0,0.5,2.0,20.0,0,-8.839588562862474,0,0
3,20,9.0,1.0,0.5,2.0,20.0,1,-8.65703178763754,0,0
3,20,9.0,1.0,0.5,2.0,20.0,2,-8.237548343082192,0,0
3,20,9.0,1.0,0.5,2.0,20.0,3,-7.3076138199767495,0,0
3,20,9.0,1.0,0.5,2.0,20.0,4,-8.845636095151287,0,0
4,69,9.0,1.0,0.5,2.0,20.0,0,-33.339588562862474,0,0
4,69,9.0,1.0,0.5,2.0,20.0,1,-33.15703178763754,0,0
4,69,9.0,1.0,0.5,2.0,20.0,2,-32.73754834308219,0,0
4,69,9.0,1.0,0.5,2.0,20.0,3,-31.80761381997675,0,0
4,69,9.0,1.0,0.5,2.0,20.0,4,-33.345636095151285,0,0
5,90,9.0,1.0,0.5,2.0,20.0,0,-43.839588562862474,0,0
5,90,9.0,1.0,0.5,2.0,20.0,1,-43.65703178763754,0,0
5,90,9.0,1.0,0.5,2.0,20.0,2,-43.23754834308219,0,0
5,90,9.0,1.0,0.5,2.0,20.0,3,-42.30761381997675,0,0
5,90,9.0,1.0,0.5,2.0,20.0,4,-43.845636095151285,0,0
6,58,9.0,1.0,0.5,2.0,20.0,0,-27.839588562862474,0,0
6,58,9.0,1.0,0.5,2.0,20.0,1,-27.65703178763754,0,0
6,58,9.0,1.0,0.5,2.0,20.0,2,-27.237548343082192,0,0
6,58,9.0,1.0,0.5,2.0,20.0,3,-26.30761381997675,0,0
6,58,9.0,1.0,0.5,2.0,20.0,4,-27.84563609515129,0,0
7,52,9.0,1.0,0.5,2.0,20.0,0,-24.839588562862474,0,0
7,52,9.0,1.0,0.5,2.0,20.0,1,-24.65703178763754,0,0
7,52,9.0,1.0,0.5,2.0,20.0,2,-24.237548343082192,0,0
7,52,9.0,1.0,0.5,2.0,20.0,3,-23.30761381997675,0,0
7,52,9.0,1.0,0.5,2.0,20.0,4,-24.84563609515129,0,0
8,47,9.0,1.0,0.5,2.0,20.0,0,-22.339588562862474,0,0
8,47,9.0,1.0,0.5,2.0,20.0,1,-22.15703178763754,0,0
8,47,9.0,1.0,0.5,2.0,20.0,2,-21.737548343082192,0,0
8,47,9.0,1.0,0.5,2.0,20.0,3,-20.80761381997675,0,0
8,47,9.0,1.0,0.5,2.0,20.0,4,-22.34563609515129,0,0
9,63,9.0,1.0,0.5,2.0,20.0,0,-30.339588562862474,0,0
9,63,9.0,1.0,0.5,2.0,20.0,1,-30.15703178763754,0,0
9,63,9.0,1.0,0.5,2.0,20.0,2,-29.737548343082192,0,0
9,63,9.0,1.0,0.5,2.0,20.0,3,-28.80761381997675,0,0
9,63,9.0,1.0,0.5,2.0,20.0,4,-30.34563609515129,0,0
10,85,9.0,1.0,0.5,2.0,20.0,0,-41.339588562862474,0,0
10,85,9.0,1.0,0.5,2.0,20.0,1,-41.15703178763754,0,0
10,85,9.0,1.0,0.5,2.0,20.0,2,-40.73754834308219,0,0
10,85,9.0,1.0,0.5,2.0,20.0,3,-39.80761381997675,0,0
