Design #,contam_rate_beta,restore_rate_alpha,initial_rate_alpha,contam_rate_alpha (default),restore_rate_beta (default),initial_rate_beta (default),stages (default),prev_decision (default)
0,4.94,1.0,0.906,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
1,4.19,0.63,0.938,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
2,4.38,0.72,0.531,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
3,4.56,0.81,0.656,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
4,6.25,0.97,0.719,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
5,7.0,0.66,0.688,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
6,5.88,0.59,1.0,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
7,5.69,0.94,0.875,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
8,5.5,0.75,0.75,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
9,6.06,0.5,0.594,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
10,6.81,0.88,0.563,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
11,6.63,0.78,0.969,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
12,6.44,0.69,0.844,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
13,4.75,0.53,0.781,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
14,4.0,0.84,0.813,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
15,5.13,0.91,0.5,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
16,5.31,0.56,0.625,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
17,7.0,0.91,0.688,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
18,4.75,0.94,0.781,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
19,5.31,0.53,0.625,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
20,5.88,0.66,1.0,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
21,6.81,0.72,0.563,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
22,4.94,0.69,0.906,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
23,4.56,1.0,0.656,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
24,6.63,0.88,0.969,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
25,4.0,0.59,0.813,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
26,6.25,0.56,0.719,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
27,5.69,0.97,0.875,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
28,5.13,0.84,0.5,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
29,4.19,0.78,0.938,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
30,6.06,0.81,0.594,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
31,6.44,0.5,0.844,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
32,4.38,0.63,0.531,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
33,6.44,0.69,0.625,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
34,6.63,0.78,0.5,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
35,4.19,0.63,0.813,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
36,4.94,1.0,0.781,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
37,5.31,0.56,0.656,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
38,5.13,0.91,0.531,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
39,7.0,0.66,0.938,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
40,6.25,0.97,0.906,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
41,4.56,0.81,0.875,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
42,4.38,0.72,1.0,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
43,6.81,0.88,0.688,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
44,6.06,0.5,0.719,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
45,5.69,0.94,0.844,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
46,5.88,0.59,0.969,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
47,4.0,0.84,0.563,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
48,4.75,0.53,0.594,1.0,0.42857142857142855,30.0,5,"(0, 0, 0, 0, 0)"
