DesignPt#,purchase_price,sales_price,salvage_price,order_quantity,Burr_c,Burr_k,MacroRep#,profit,stockout_qty,stockout
0,5.625,20.0,1.0,0.5,2.0,20.0,0,-0.7440228367983734,0,0
0,5.625,20.0,1.0,0.5,2.0,20.0,1,-0.3104504956391594,0,0
0,5.625,20.0,1.0,0.5,2.0,20.0,2,0.6858226851797955,0,0
0,5.625,20.0,1.0,0.5,2.0,20.0,3,2.894417177555219,0,0
0,5.625,20.0,1.0,0.5,2.0,20.0,4,-0.758385725984307,0,0
1,5.125,12.5,1.0,0.5,2.0,20.0,0,-1.113158559114805,0,0
1,5.125,12.5,1.0,0.5,2.0,20.0,1,-0.8507331947289647,0,0
1,5.125,12.5,1.0,0.5,2.0,20.0,2,-0.24772574318065033,0,0
1,5.125,12.5,1.0,0.5,2.0,20.0,3,1.0890551337834222,0,0
1,5.125,12.5,1.0,0.5,2.0,20.0,4,-1.1218518867799754,0,0
2,5.25,14.38,1.0,0.5,2.0,20.0,0,-1.0204618713874862,0,0
2,5.25,14.38,1.0,0.5,2.0,20.0,1,-0.7151356648237865,0,0
2,5.25,14.38,1.0,0.5,2.0,20.0,2,-0.01354960380496495,0,0
2,5.25,14.38,1.0,0.5,2.0,20.0,3,1.5417658860888857,0,0
2,5.25,14.38,1.0,0.5,2.0,20.0,4,-1.0305763691405276,0,0
3,5.375,16.25,1.0,0.5,2.0,20.0,0,-0.9285906979565892,0,0
3,5.375,16.25,1.0,0.5,2.0,20.0,1,-0.5805918451840619,0,0
3,5.375,16.25,1.0,0.5,2.0,20.0,2,0.2190484709995726,0,0
3,5.375,16.25,1.0,0.5,2.0,20.0,3,1.9917361556693205,0,0
3,5.375,16.25,1.0,0.5,2.0,20.0,4,-0.9401188063821411,0,0
4,6.5,19.38,1.0,0.5,2.0,20.0,0,-1.232704723176532,0,0
4,6.5,19.38,1.0,0.5,2.0,20.0,1,-0.8132805320972496,0,0
4,6.5,19.38,1.0,0.5,2.0,20.0,2,0.1504826817686653,0,0
4,6.5,19.38,1.0,0.5,2.0,20.0,3,2.287007248603417,0,0
4,6.5,19.38,1.0,0.5,2.0,20.0,4,-1.2465989286100823,0,0
5,7.0,13.13,1.0,0.5,2.0,20.0,0,-1.9986511584402247,0,0
5,7.0,13.13,1.0,0.5,2.0,20.0,1,-1.721849448005421,0,0
5,7.0,13.13,1.0,0.5,2.0,20.0,2,-1.0858076751983723,0,0
5,7.0,13.13,1.0,0.5,2.0,20.0,3,0.32420554546025304,0,0
5,7.0,13.13,1.0,0.5,2.0,20.0,4,-2.0078207292731394,0,0
6,6.25,11.88,1.0,0.5,2.0,20.0,0,-1.7268404454929633,0,0
6,6.25,11.88,1.0,0.5,2.0,20.0,1,-1.4785632311870551,0,0
6,6.25,11.88,1.0,0.5,2.0,20.0,2,-0.9080657465917801,0,0
6,6.25,11.88,1.0,0.5,2.0,20.0,3,0.35664520483162043,0,0
6,6.25,11.88,1.0,0.5,2.0,20.0,4,-1.7350650894057504,0,0
7,6.125,18.75,1.0,0.5,2.0,20.0,0,-1.0972121238511123,0,0
7,6.125,18.75,1.0,0.5,2.0,20.0,1,-0.6921642788207931,0,0
7,6.125,18.75,1.0,0.5,2.0,20.0,2,0.2385646137863877,0,0
7,6.125,18.75,1.0,0.5,2.0,20.0,3,2.3018568369265866,0,0
7,6.125,18.75,1.0,0.5,2.0,20.0,4,-1.1106300861169183,0,0
8,6.0,15.0,1.0,0.5,2.0,20.0,0,-1.3442799850093277,0,0
8,6.0,15.0,1.0,0.5,2.0,20.0,1,-1.024805628365696,0,0
8,6.0,15.0,1.0,0.5,2.0,20.0,2,-0.29070960039383476,0,0
8,6.0,15.0,1.0,0.5,2.0,20.0,3,1.3366758150406879,0,0
8,6.0,15.0,1.0,0.5,2.0,20.0,4,-1.3548631665147526,0,0
9,6.375,10.0,1.0,0.5,2.0,20.0,0,-1.9445371332202823,0,0
9,6.375,10.0,1.0,0.5,2.0,20.0,1,-1.7391607610922333,0,0
9,6.375,10.0,1.0,0.5,2.0,20.0,2,-1.2672418859674655,0,0
9,6.375,10.0,1.0,0.5,2.0,20.0,3,-0.22106554747384344,0,0
9,6.375,10.0,1.0,0.5,2.0,20.0,4,-1.951340607045198,0,0
10,6.875,17.5,1.0,0.5,2.0,20.0,0,-1.5754014109038508,0,0
10,6.875,17.5,1.0,0.5,2.0,20.0,1,-1.1988780620024277,0,0
10,6.875,17.5,1.0,0.5,2.0,20.0,2,-0.33369345760701963,0,0
10,6.875,17.5,1.0,0.5,2.0,20.0,3,1.584296496297953,0,0
10,6.875,17.5,1.0,0.5,2.0,20.0,4,-1.5878744462495298,0,0
11,6.75,15.63,1.0,0.5,2.0,20.0,0,-1.6672725843347478,0,0
11,6.75,15.63,1.0,0.5,2.0,20.0,1,-1.3334218816421526,0,0
11,6.75,15.63,1.0,0.5,2.0,20.0,2,-0.5662915324115572,0,0
11,6.75,15.63,1.0,0.5,2.0,20.0,3,1.1343262267175191,0,0
11,6.75,15.63,1.0,0.5,2.0,20.0,4,-1.6783320090079163,0,0
12,6.625,13.75,1.0,0.5,2.0,20.0,0,-1.7599692720620665,0,0
12,6.625,13.75,1.0,0.5,2.0,20.0,1,-1.4690194115473305,0,0
12,6.625,13.75,1.0,0.5,2.0,20.0,2,-0.8004676717872425,0,0
12,6.625,13.75,1.0,0.5,2.0,20.0,3,0.6816154744120548,0,0
12,6.625,13.75,1.0,0.5,2.0,20.0,4,-1.7696075266473639,0,0
13,5.5,10.63,1.0,0.5,2.0,20.0,0,-1.455029732545702,0,0
13,5.5,10.63,1.0,0.5,2.0,20.0,1,-1.2352770143686895,0,0
13,5.5,10.63,1.0,0.5,2.0,20.0,2,-0.7303238179851879,0,0
13,5.5,10.63,1.0,0.5,2.0,20.0,3,0.3890848642029878,0,0
13,5.5,10.63,1.0,0.5,2.0,20.0,4,-1.4623094495383617,0,0
