Design #,purchase_price,sales_price,salvage_price (default),order_quantity (default),Burr_c (default),Burr_k (default)
0,5,20,1.0,0.5,2.0,20.0
1,3,8,1.0,0.5,2.0,20.0
2,4,11,1.0,0.5,2.0,20.0
3,4,14,1.0,0.5,2.0,20.0
4,8,19,1.0,0.5,2.0,20.0
5,10,9,1.0,0.5,2.0,20.0
6,7,7,1.0,0.5,2.0,20.0
7,7,18,1.0,0.5,2.0,20.0
8,7,12,1.0,0.5,2.0,20.0
9,8,4,1.0,0.5,2.0,20.0
10,10,16,1.0,0.5,2.0,20.0
11,9,13,1.0,0.5,2.0,20.0
12,9,10,1.0,0.5,2.0,20.0
13,5,5,1.0,0.5,2.0,20.0
14,3,15,1.0,0.5,2.0,20.0
15,6,17,1.0,0.5,2.0,20.0
16,6,6,1.0,0.5,2.0,20.0
