Design #,purchase_price,sales_price,salvage_price (default),order_quantity (default),Burr_c (default),Burr_k (default)
0,5.625,20.0,1.0,0.5,2.0,20.0
1,5.125,12.5,1.0,0.5,2.0,20.0
2,5.25,14.38,1.0,0.5,2.0,20.0
3,5.375,16.25,1.0,0.5,2.0,20.0
4,6.5,19.38,1.0,0.5,2.0,20.0
5,7.0,13.13,1.0,0.5,2.0,20.0
6,6.25,11.88,1.0,0.5,2.0,20.0
7,6.125,18.75,1.0,0.5,2.0,20.0
8,6.0,15.0,1.0,0.5,2.0,20.0
9,6.375,10.0,1.0,0.5,2.0,20.0
10,6.875,17.5,1.0,0.5,2.0,20.0
11,6.75,15.63,1.0,0.5,2.0,20.0
12,6.625,13.75,1.0,0.5,2.0,20.0
13,5.5,10.63,1.0,0.5,2.0,20.0
14,5.0,16.88,1.0,0.5,2.0,20.0
15,5.75,18.13,1.0,0.5,2.0,20.0
16,5.875,11.25,1.0,0.5,2.0,20.0
