DesignPt#,n_days,initial_inv,cost_reg,cost_exp,lead_reg,lead_exp,holding_cost,penalty_cost,st_dev,mu,order_level_reg,order_level_exp,MacroRep#,average_ordering_cost,average_penalty_cost,average_holding_cost
0,1000,50,97,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,3067.412,50.49,104.43
0,1000,50,97,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,3113.019,41.58,102.775
0,1000,50,97,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3143.143,49.005,100.91
0,1000,50,97,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,3116.722,35.64,101.69
0,1000,50,97,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,3122.276,49.005,102.065
1,1000,50,59,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,2505.544,50.49,104.43
1,1000,50,59,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,2552.633,41.58,102.775
1,1000,50,59,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,2580.781,49.005,100.91
1,1000,50,59,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,2553.334,35.64,101.69
1,1000,50,59,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,2560.332,49.005,102.065
2,1000,50,69,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,2653.404,50.49,104.43
2,1000,50,69,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,2700.103,41.58,102.775
2,1000,50,69,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,2728.771,49.005,100.91
2,1000,50,69,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,2701.594,35.64,101.69
2,1000,50,69,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,2708.212,49.005,102.065
3,1000,50,78,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,2786.478,50.49,104.43
3,1000,50,78,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,2832.826,41.58,102.775
3,1000,50,78,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,2861.962,49.005,100.91
3,1000,50,78,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,2835.028,35.64,101.69
3,1000,50,78,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,2841.304,49.005,102.065
4,1000,50,163,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,4043.288,50.49,104.43
4,1000,50,163,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,4086.321,41.58,102.775
4,1000,50,163,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,4119.877,49.005,100.91
4,1000,50,163,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,4095.238,35.64,101.69
4,1000,50,163,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,4098.284,49.005,102.065
5,1000,50,200,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,4590.37,50.49,104.43
5,1000,50,200,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,4631.96,41.58,102.775
5,1000,50,200,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,4667.44,49.005,100.91
5,1000,50,200,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,4643.8,35.64,101.69
5,1000,50,200,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,4645.44,49.005,102.065
6,1000,50,144,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,3762.354,50.49,104.43
6,1000,50,144,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,3806.128,41.58,102.775
6,1000,50,144,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3838.696,49.005,100.91
6,1000,50,144,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,3813.544,35.64,101.69
6,1000,50,144,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,3817.312,49.005,102.065
7,1000,50,134,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,3614.494,50.49,104.43
7,1000,50,134,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,3658.658,41.58,102.775
7,1000,50,134,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3690.706,49.005,100.91
7,1000,50,134,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,3665.284,35.64,101.69
7,1000,50,134,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,3669.432,49.005,102.065
8,1000,50,125,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,3481.42,50.49,104.43
8,1000,50,125,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,3525.935,41.58,102.775
8,1000,50,125,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3557.515,49.005,100.91
8,1000,50,125,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,3531.85,35.64,101.69
8,1000,50,125,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,3536.34,49.005,102.065
9,1000,50,153,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,3895.428,50.49,104.43
9,1000,50,153,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,3938.851,41.58,102.775
9,1000,50,153,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3971.887,49.005,100.91
9,1000,50,153,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,3946.978,35.64,101.69
9,1000,50,153,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,3950.404,49.005,102.065
10,1000,50,191,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,4457.296,50.49,104.43
10,1000,50,191,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,4499.237,41.58,102.775
10,1000,50,191,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,4534.249,49.005,100.91
10,1000,50,191,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,4510.366,35.64,101.69
10,1000,50,191,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,4512.348,49.005,102.065
11,1000,50,181,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,4309.436,50.49,104.43
11,1000,50,181,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,4351.767,41.58,102.775
11,1000,50,181,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,4386.259,49.005,100.91
11,1000,50,181,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,4362.106,35.64,101.69
11,1000,50,181,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,4364.468,49.005,102.065
12,1000,50,172,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,4176.362,50.49,104.43
12,1000,50,172,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,4219.044,41.58,102.775
12,1000,50,172,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,4253.068,49.005,100.91
12,1000,50,172,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,4228.672,35.64,101.69
12,1000,50,172,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,4231.376,49.005,102.065
13,1000,50,88,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,2934.338,50.49,104.43
13,1000,50,88,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,2980.296,41.58,102.775
13,1000,50,88,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3009.952,49.005,100.91
13,1000,50,88,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,2983.288,35.64,101.69
13,1000,50,88,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,2989.184,49.005,102.065
14,1000,50,50,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,2372.47,50.49,104.43
14,1000,50,50,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,2419.91,41.58,102.775
14,1000,50,50,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,2447.59,49.005,100.91
14,1000,50,50,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,2419.9,35.64,101.69
14,1000,50,50,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,2427.24,49.005,102.065
15,1000,50,106,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,3200.486,50.49,104.43
15,1000,50,106,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,3245.742,41.58,102.775
15,1000,50,106,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3276.334,49.005,100.91
15,1000,50,106,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,3250.156,35.64,101.69
15,1000,50,106,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,3255.368,49.005,102.065
16,1000,50,116,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,3348.346,50.49,104.43
16,1000,50,116,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,3393.212,41.58,102.775
16,1000,50,116,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3424.324,49.005,100.91
16,1000,50,116,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,3398.416,35.64,101.69
16,1000,50,116,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,3403.248,49.005,102.065
17,1000,50,200,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,4590.37,50.49,104.43
17,1000,50,200,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,4631.96,41.58,102.775
17,1000,50,200,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,4667.44,49.005,100.91
17,1000,50,200,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,4643.8,35.64,101.69
17,1000,50,200,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,4645.44,49.005,102.065
18,1000,50,88,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,2934.338,50.49,104.43
18,1000,50,88,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,2980.296,41.58,102.775
18,1000,50,88,110.0,2,0,5.0,495.0,10.0,30.0,80,50,2,3009.952,49.005,100.91
18,1000,50,88,110.0,2,0,5.0,495.0,10.0,30.0,80,50,3,2983.288,35.64,101.69
18,1000,50,88,110.0,2,0,5.0,495.0,10.0,30.0,80,50,4,2989.184,49.005,102.065
19,1000,50,116,110.0,2,0,5.0,495.0,10.0,30.0,80,50,0,3348.346,50.49,104.43
19,1000,50,116,110.0,2,0,5.0,495.0,10.0,30.0,80,50,1,3393.212,41.58,102.775
