Design #,n_days,initial_inv,lead_reg,order_level_exp
0,63,60,5,41
1,13,30,5,47
2,26,38,3,38
3,38,45,4,60
4,150,58,4,34
5,200,33,4,54
6,125,28,5,39
7,113,55,5,58
8,101,40,4,45
9,138,20,3,49
10,188,50,3,43
11,175,43,5,53
12,163,35,4,30
13,51,23,4,56
14,1,48,4,36
15,76,53,3,51
16,88,25,4,32
17,200,53,4,38
18,51,55,4,30
19,88,23,4,49
20,125,33,5,47
21,188,38,3,39
22,63,35,5,32
23,38,60,4,56
24,175,50,5,54
25,1,28,4,53
26,150,25,4,60
27,113,58,5,41
28,76,48,3,43
29,13,43,5,51
30,138,45,3,58
31,163,20,4,34
32,26,30,3,36
33,163,35,4,58
34,175,43,3,39
35,13,30,4,54
36,63,60,4,34
37,88,25,4,30
38,76,53,3,53
39,200,33,5,43
40,150,58,5,49
41,38,45,5,32
42,26,38,5,51
43,188,50,4,36
44,138,20,4,56
45,113,55,4,60
46,125,28,5,38
47,1,48,3,47
48,51,23,3,41
