Design #,lead_reg,n_days (default),initial_inv (default),cost_reg (default),cost_exp (default),lead_exp (default),holding_cost (default),penalty_cost (default),st_dev (default),mu (default),order_level_reg (default),order_level_exp (default)
0,2,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
1,1,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
2,2,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
3,2,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
4,4,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
5,5,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
6,4,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
7,3,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
8,3,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
9,4,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
10,5,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
11,5,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
12,4,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
13,2,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
14,1,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
15,3,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
16,3,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
17,5,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
18,2,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
19,3,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
20,4,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
21,5,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
22,2,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
23,2,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
24,5,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
25,1,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
26,4,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
27,3,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
28,3,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
29,1,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
30,4,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
31,4,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
32,2,1000,40,100.0,110.0,0,5.0,495.0,10.0,30.0,80,50
