Design #,cost_reg,n_days (default),initial_inv (default),cost_exp (default),lead_reg (default),lead_exp (default),holding_cost (default),penalty_cost (default),st_dev (default),mu (default),order_level_reg (default),order_level_exp (default)
0,97,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
1,59,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
2,69,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
3,78,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
4,163,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
5,200,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
6,144,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
7,134,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
8,125,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
9,153,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
10,191,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
11,181,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
12,172,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
13,88,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
14,50,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
15,106,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
16,116,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
17,200,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
18,88,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
19,116,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
20,144,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
21,191,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
22,97,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
23,78,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
24,181,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
25,50,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
26,163,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
27,134,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
28,106,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
29,59,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
30,153,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
31,172,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
32,69,1000,40,110.0,2,0,5.0,495.0,10.0,30.0,80,50
