Design #,budget,initial_solution,Name,Design Type,Number Stacks
0,969,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
1,594,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
2,688,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
3,781,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
4,1625,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
5,2000,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
6,1438,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
7,1344,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
8,1250,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
9,1531,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
10,1906,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
11,1813,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
12,1719,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
13,875,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
14,500,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
15,1063,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
16,1156,"(2.0, 2.0)",EXAMPLE-1,nolhs,1
