Design #,budget,initial_solution,installation_costs,epsilon,mean_vec,cov,capacity,Name,Design Type,Number Stacks
0,8313,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
1,4063,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
2,5125,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
3,6188,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
4,15750,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
5,20000,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
6,13625,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
7,12563,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
8,11500,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
9,14688,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
10,18938,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
11,17875,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
12,16813,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
13,7250,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
14,3000,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
15,9375,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
16,10438,"(300.0, 300.0, 300.0)","(1.0, 1.0, 1.0)",0.05,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE-1,nolhs,1
