Design #,n_fac,mean_vec,cov,capacity,Name,Design Type,Number Stacks
0,108,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
1,38,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
2,55,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
3,73,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
4,230,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
5,300,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
6,195,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
7,178,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
8,160,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
9,213,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
10,283,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
11,265,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
12,248,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
13,90,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
14,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
15,125,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
16,143,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",FACSIZE,nolhs,1
