Design #,epsilon,initial_solution,budget,installation_costs,Name,Design Type,Number Stacks
0,2.25,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
1,1.25,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
2,1.5,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
3,1.75,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
4,4.0,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
5,5.0,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
6,3.5,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
7,3.25,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
8,3.0,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
9,3.75,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
10,4.75,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
11,4.5,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
12,4.25,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
13,2.0,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
14,1.0,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
15,2.5,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
16,2.75,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",FACSIZE-1,nolhs,1
