Design #,budget,initial_solution,installation_costs,installation_budget,mean_vec,cov,capacity,n_fac,Name,Design Type,Number Stacks
0,5375,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
1,1875,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
2,2750,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
3,3625,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
4,11500,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
5,15000,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
6,9750,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
7,8875,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
8,8000,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
9,10625,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
10,14125,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
11,13250,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
12,12375,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
13,4500,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
14,1000,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
15,6250,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
16,7125,"(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",200,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","[150, 300, 400]",3,FACSIZE-2,nolhs,1
