DesignPt#,crn_across_solns,sample_size,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,7,"(2.0, 2.0)",1000,0,-0.020477591820078328,0.022052108073126943,0.014,1,0.014,1,0.014,1,0.014,1
0,True,7,"(2.0, 2.0)",1000,1,0.18807235949540235,-0.021965026686181974,0.035,1,0.035,1,0.021,1,0.014,1
0,True,7,"(2.0, 2.0)",1000,2,0.014157178902342867,0.027641091139541007,0.595,1,0.014,1,0.014,1,0.014,1
0,True,7,"(2.0, 2.0)",1000,3,0.044280685479455684,0.09610862633492198,0.098,1,0.028,1,0.014,1,0.014,1
1,True,2,"(2.0, 2.0)",1000,0,-0.05428712960364798,-0.002560690118219815,0.004,1,0.004,1,0.004,1,0.004,1
1,True,2,"(2.0, 2.0)",1000,1,-0.02301668846772477,0.022016421105370786,0.012,1,0.012,1,0.012,1,0.008,1
1,True,2,"(2.0, 2.0)",1000,2,0.0031512722327438247,-0.008935681720484727,0.026,1,0.004,1,0.004,1,0.004,1
1,True,2,"(2.0, 2.0)",1000,3,0.10830582958630203,0.03763855349593089,0.444,1,0.004,1,0.004,1,0.004,1
2,True,3,"(2.0, 2.0)",1000,0,-0.05428712960364798,0.006598324169471259,0.006,1,0.006,1,0.006,1,0.006,1
2,True,3,"(2.0, 2.0)",1000,1,0.07027113683962703,0.002151202862379159,0.015,1,0.015,1,0.009,1,0.009,1
2,True,3,"(2.0, 2.0)",1000,2,-0.022965747462030995,0.0067605324025600076,0.03,1,0.027,1,0.027,1,0.009,1
2,True,3,"(2.0, 2.0)",1000,3,0.08636560448637509,0.01984164052789965,0.471,1,0.006,1,0.006,1,0.006,1
3,True,5,"(2.0, 2.0)",1000,0,-0.05428712960364798,0.024916352744853404,0.01,1,0.01,1,0.01,1,0.01,1
3,True,5,"(2.0, 2.0)",1000,1,0.014166320732983418,0.004030514154975469,0.125,1,0.125,1,0.01,1,0.01,1
3,True,5,"(2.0, 2.0)",1000,2,-0.13368876431439258,0.04291874454084717,0.735,1,0.025,1,0.015,1,0.01,1
3,True,5,"(2.0, 2.0)",1000,3,0.038349631248423256,0.09178925744985644,0.19,1,0.01,1,0.01,1,0.01,1
4,True,15,"(2.0, 2.0)",1000,0,-0.020477591820078328,-0.00904406435282001,0.03,1,0.03,1,0.03,1,0.03,1
4,True,15,"(2.0, 2.0)",1000,1,0.02086866595359632,0.1176317211648389,0.06,1,0.06,1,0.045,1,0.03,1
4,True,15,"(2.0, 2.0)",1000,2,-0.05131085990638254,0.08306416645404556,0.03,1,0.03,1,0.03,1,0.03,1
4,True,15,"(2.0, 2.0)",1000,3,-0.03469697962685611,0.10643656014446792,1.0,1,0.045,1,0.045,1,0.03,1
5,True,20,"(2.0, 2.0)",1000,0,0.05407981989292302,-0.01518441689438232,0.04,1,0.04,1,0.04,1,0.04,1
5,True,20,"(2.0, 2.0)",1000,1,0.18847348636892602,0.03831377735168671,0.1,1,0.08,1,0.08,1,0.06,1
5,True,20,"(2.0, 2.0)",1000,2,0.022274071732177086,0.03845951542514762,0.34,1,0.08,1,0.08,1,0.04,1
5,True,20,"(2.0, 2.0)",1000,3,-0.04180601451786293,0.11902018388807385,1.0,1,0.04,1,0.04,1,0.04,1
6,True,13,"(2.0, 2.0)",1000,0,-0.020477591820078328,-0.0012700212463332607,0.026,1,0.026,1,0.026,1,0.026,1
6,True,13,"(2.0, 2.0)",1000,1,-0.019284893548852163,0.055075460669486875,0.052,1,0.052,1,0.052,1,0.026,1
6,True,13,"(2.0, 2.0)",1000,2,-0.05131085990638254,0.08757033696490299,0.026,1,0.026,1,0.026,1,0.026,1
6,True,13,"(2.0, 2.0)",1000,3,0.09431725923142358,0.05914889916025061,0.52,1,0.065,1,0.026,1,0.026,1
7,True,12,"(2.0, 2.0)",1000,0,-0.020477591820078328,0.002617000306910101,0.024,1,0.024,1,0.024,1,0.024,1
7,True,12,"(2.0, 2.0)",1000,1,-0.019284893548852163,0.05100220526451051,0.072,1,0.072,1,0.072,1,0.024,1
7,True,12,"(2.0, 2.0)",1000,2,-0.05131085990638254,0.09073962191461085,1.0,1,0.024,1,0.024,1,0.024,1
7,True,12,"(2.0, 2.0)",1000,3,0.09431725923142358,0.016542774342904167,0.228,1,0.036,1,0.036,1,0.036,1
8,True,11,"(2.0, 2.0)",1000,0,-0.020477591820078328,0.006504021860153476,0.022,1,0.022,1,0.022,1,0.022,1
8,True,11,"(2.0, 2.0)",1000,1,0.006564221247668629,0.014670385704625123,0.099,1,0.033,1,0.033,1,0.022,1
8,True,11,"(2.0, 2.0)",1000,2,-0.05131085990638254,0.0832688009616028,1.0,1,0.022,1,0.022,1,0.022,1
8,True,11,"(2.0, 2.0)",1000,3,-0.03296168643169458,0.12714484319481098,1.0,1,0.088,1,0.022,1,0.022,1
9,True,14,"(2.0, 2.0)",1000,0,-0.020477591820078328,-0.005157042799576633,0.028,1,0.028,1,0.028,1,0.028,1
9,True,14,"(2.0, 2.0)",1000,1,-0.01861990258259393,0.13262114556756127,0.126,1,0.098,1,0.098,1,0.028,1
9,True,14,"(2.0, 2.0)",1000,2,-0.13277847344838725,0.052394541014426456,0.616,1,0.07,1,0.028,1,0.028,1
9,True,14,"(2.0, 2.0)",1000,3,0.051803632739706264,0.07907586065082062,0.154,1,0.028,1,0.028,1,0.028,1
10,True,19,"(2.0, 2.0)",1000,0,0.05407981989292302,-0.020271355117780755,0.038,1,0.038,1,0.038,1,0.038,1
10,True,19,"(2.0, 2.0)",1000,1,-0.02338876509787974,0.17178998199277365,1.0,1,1.0,1,0.038,1,0.038,1
10,True,19,"(2.0, 2.0)",1000,2,0.022274071732177086,0.028795096719090488,0.209,1,0.209,1,0.095,1,0.038,1
10,True,19,"(2.0, 2.0)",1000,3,0.10352417304839542,0.09868966006543842,0.57,1,0.038,1,0.038,1,0.038,1
11,True,18,"(2.0, 2.0)",1000,0,-0.020477591820078328,-0.0207051290125501,0.036,1,0.036,1,0.036,1,0.036,1
11,True,18,"(2.0, 2.0)",1000,1,-0.08420557921892198,0.11052916211753806,0.486,1,0.486,1,0.036,1,0.036,1
11,True,18,"(2.0, 2.0)",1000,2,0.007311774636414337,0.013283139310054058,0.144,1,0.09,1,0.054,1,0.036,1
11,True,18,"(2.0, 2.0)",1000,3,0.10352417304839542,0.09323602187762273,0.036,1,0.036,1,0.036,1,0.036,1
12,True,16,"(2.0, 2.0)",1000,0,-0.020477591820078328,-0.012931085906063367,0.032,1,0.032,1,0.032,1,0.032,1
12,True,16,"(2.0, 2.0)",1000,1,0.02086866595359632,0.14180214935841198,0.128,1,0.064,1,0.064,1,0.032,1
12,True,16,"(2.0, 2.0)",1000,2,0.019452567679309824,0.04837893170678245,0.128,1,0.128,1,0.128,1,0.032,1
12,True,16,"(2.0, 2.0)",1000,3,-0.03723746977919022,0.15536383483536725,1.0,1,0.128,1,0.064,1,0.048,1
13,True,6,"(2.0, 2.0)",1000,0,-0.020477591820078328,0.0259391296263703,0.012,1,0.012,1,0.012,1,0.012,1
13,True,6,"(2.0, 2.0)",1000,1,-0.021150441623979072,-0.07226649321596593,0.018,1,0.018,1,0.018,1,0.012,1
13,True,6,"(2.0, 2.0)",1000,2,0.004616099765918937,0.005025427222413448,0.012,1,0.012,1,0.012,1,0.012,1
13,True,6,"(2.0, 2.0)",1000,3,0.08679431197117299,-1.8120266298467594e-05,0.012,1,0.012,1,0.012,1,0.012,1
14,True,1,"(2.0, 2.0)",1000,0,-0.08430028795018565,-0.027334713714014258,0.002,1,0.002,1,0.002,1,0.002,1
14,True,1,"(2.0, 2.0)",1000,1,-0.09660274129887499,0.15144413330259165,0.004,1,0.004,1,0.002,1,0.002,1
14,True,1,"(2.0, 2.0)",1000,2,0.0034416019873850967,-0.0030627800691506307,0.066,1,0.002,1,0.002,1,0.002,1
14,True,1,"(2.0, 2.0)",1000,3,0.10821606104196019,0.08634701762714465,0.08,1,0.002,1,0.002,1,0.002,1
15,True,8,"(2.0, 2.0)",1000,0,-0.020477591820078328,0.018165086519883574,0.016,1,0.016,1,0.016,1,0.016,1
15,True,8,"(2.0, 2.0)",1000,1,-0.022106397601719424,0.02743295389576584,0.064,1,0.056,1,0.056,1,0.024,1
15,True,8,"(2.0, 2.0)",1000,2,-0.13177986777679862,0.07683573134093127,0.016,1,0.016,1,0.016,1,0.016,1
15,True,8,"(2.0, 2.0)",1000,3,0.048665994911446714,0.06644948628086175,0.016,1,0.016,1,0.016,1,0.016,1
16,True,9,"(2.0, 2.0)",1000,0,-0.020477591820078328,0.014278064966640207,0.018,1,0.018,1,0.018,1,0.018,1
16,True,9,"(2.0, 2.0)",1000,1,0.013167715061394806,0.042583349104223636,0.036,1,0.036,1,0.036,1,0.018,1
16,True,9,"(2.0, 2.0)",1000,2,-0.04469820351213728,0.06719278600865532,0.018,1,0.018,1,0.018,1,0.018,1
16,True,9,"(2.0, 2.0)",1000,3,0.11271416757623537,0.10766974498991702,0.225,1,0.225,1,0.045,1,0.018,1
