Design #,capacity,mean_price,max_price,min_price,st_dev,holding_cost,prod_cost,max_prod_perday,price_prod,inven_stop,price_stop,price_sell,n_days,Name,Design Type,Number Stacks
0,1597,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
1,359,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
2,669,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
3,978,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
4,3763,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
5,5000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
6,3144,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
7,2834,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
8,2525,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
9,3453,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
10,4691,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
11,4381,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
12,4072,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
13,1288,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
14,50,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
15,1906,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
16,2216,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
