Design #,n_days,initial_solution,budget,mean_price,max_price,min_price,capacity,st_dev,holding_cost,prod_cost,max_prod_perday,price_prod,inven_stop,price_stop,price_sell,Name,Design Type,Number Stacks
0,128,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
1,66,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
2,81,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
3,97,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
4,238,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
5,300,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
6,206,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
7,191,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
8,175,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
9,222,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
10,284,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
11,269,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
12,253,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
13,113,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
14,50,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
15,144,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
16,159,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,10000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,IRONORE-1,nolhs,1
