Design #,capacity,inven_stop,initial_solution,budget,mean_price,max_price,min_price,st_dev,holding_cost,prod_cost,max_prod_perday,price_prod,price_stop,price_sell,n_days,Name,Design Type,Number Stacks
0,6388,10000,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
1,1438,2875,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
2,2675,4656,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
3,3913,6438,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
4,15050,9406,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
5,20000,3469,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
6,12575,2281,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
7,11338,8813,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
8,10100,5250,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
9,13813,500,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
10,18763,7625,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
11,17525,5844,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
12,16288,4063,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
13,5150,1094,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
14,200,7031,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
15,7625,8219,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
16,8863,1688,"(80.0, 7000.0, 40.0, 100.0)",1000,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,40.0,100.0,365,IRONORE-1,nolhs,1
