Design #,capacity,mean_price,max_price,min_price,st_dev,holding_cost,prod_cost,max_prod_perday,price_prod,inven_stop,price_stop,price_sell,n_days,Name,Design Type,Number Stacks
0,146,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
1,53,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
2,76,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
3,99,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
4,308,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
5,400,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
6,261,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
7,238,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
8,215,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
9,284,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
10,377,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
11,354,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
12,331,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
13,123,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
14,30,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
15,169,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
16,192,100.0,200.0,0.0,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,IRONORE,nolhs,1
