Design #,budget,initial_solution,Name,Design Type,Number Stacks
0,1590,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
1,350,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
2,660,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
3,970,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
4,3760,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
5,5000,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
6,3140,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
7,2830,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
8,2520,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
9,3450,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
10,4690,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
11,4380,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
12,4070,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
13,1280,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
14,40,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
15,1900,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
16,2210,"(80.0, 40.0, 100.0)",IRONORECONT-1,nolhs,1
