DesignPt#,mean_price,max_price,min_price,capacity,st_dev,holding_cost,prod_cost,max_prod_perday,price_prod,inven_stop,price_stop,price_sell,n_days,MacroRep#,total_profit,frac_producing,mean_stock
0,190.63,200.0,50.0,10000,15.0,1.0,100.0,172,80.0,7000,40.0,100.0,365,0,4479119.29760611,0.9972602739726028,0.4712328767123288
0,190.63,200.0,50.0,10000,15.0,1.0,100.0,172,80.0,7000,40.0,100.0,365,1,3213684.18032945,0.9972602739726028,442.4876712328767
1,78.13,200.0,50.0,10000,11.25,1.0,100.0,181,80.0,7000,40.0,100.0,365,0,-812778.6280733998,0.936986301369863,2025.7123287671234
1,78.13,200.0,50.0,10000,11.25,1.0,100.0,181,80.0,7000,40.0,100.0,365,1,-548261.9508218472,0.7506849315068493,2792.358904109589
2,106.25,200.0,50.0,10000,12.1875,1.0,100.0,59,80.0,7000,40.0,100.0,365,0,362601.48545642744,0.9972602739726028,99.41095890410959
2,106.25,200.0,50.0,10000,12.1875,1.0,100.0,59,80.0,7000,40.0,100.0,365,1,293802.703322611,0.9972602739726028,321.18630136986303
3,134.38,200.0,50.0,10000,13.125,1.0,100.0,97,80.0,7000,40.0,100.0,365,0,1339956.783871913,0.9972602739726028,16.21095890410959
3,134.38,200.0,50.0,10000,13.125,1.0,100.0,97,80.0,7000,40.0,100.0,365,1,1106278.697610969,0.9972602739726028,406.0712328767123
4,387.5,200.0,50.0,10000,14.6875,1.0,100.0,116,80.0,7000,40.0,100.0,365,0,3665150.6307834,0.9972602739726028,0.0
4,387.5,200.0,50.0,10000,14.6875,1.0,100.0,116,80.0,7000,40.0,100.0,365,1,2756839.7389502404,0.9972602739726028,96.93150684931507
5,500.0,200.0,50.0,10000,11.5625,1.0,100.0,106,80.0,7000,40.0,100.0,365,0,3590363.020245242,0.9972602739726028,0.0
5,500.0,200.0,50.0,10000,11.5625,1.0,100.0,106,80.0,7000,40.0,100.0,365,1,3208546.0013844995,0.9972602739726028,0.0
6,331.25,200.0,50.0,10000,10.9375,1.0,100.0,200,80.0,7000,40.0,100.0,365,0,6715894.354973971,0.9972602739726028,0.0
6,331.25,200.0,50.0,10000,10.9375,1.0,100.0,200,80.0,7000,40.0,100.0,365,1,5829726.392799002,0.9972602739726028,0.0
7,303.13,200.0,50.0,10000,14.375,1.0,100.0,163,80.0,7000,40.0,100.0,365,0,5070447.597886502,0.9972602739726028,0.0
7,303.13,200.0,50.0,10000,14.375,1.0,100.0,163,80.0,7000,40.0,100.0,365,1,3687592.587931817,0.9972602739726028,212.56986301369864
8,275.0,200.0,50.0,10000,12.5,1.0,100.0,125,80.0,7000,40.0,100.0,365,0,4015368.912360516,0.9972602739726028,0.0
8,275.0,200.0,50.0,10000,12.5,1.0,100.0,125,80.0,7000,40.0,100.0,365,1,3089358.09058885,0.9972602739726028,64.04109589041096
9,359.38,200.0,50.0,10000,10.0,1.0,100.0,78,80.0,7000,40.0,100.0,365,0,2667094.1286656926,0.9972602739726028,0.0
9,359.38,200.0,50.0,10000,10.0,1.0,100.0,78,80.0,7000,40.0,100.0,365,1,2426732.9269573237,0.9972602739726028,0.0
10,471.88,200.0,50.0,10000,13.75,1.0,100.0,69,80.0,7000,40.0,100.0,365,0,2252425.352931983,0.9972602739726028,0.0
10,471.88,200.0,50.0,10000,13.75,1.0,100.0,69,80.0,7000,40.0,100.0,365,1,1828332.0113161397,0.9972602739726028,9.263013698630138
11,443.75,200.0,50.0,10000,12.8125,1.0,100.0,191,80.0,7000,40.0,100.0,365,0,6313715.959938469,0.9972602739726028,0.0
11,443.75,200.0,50.0,10000,12.8125,1.0,100.0,191,80.0,7000,40.0,100.0,365,1,5285419.667303598,0.9972602739726028,3.663013698630137
12,415.63,200.0,50.0,10000,11.875,1.0,100.0,153,80.0,7000,40.0,100.0,365,0,5118574.213094976,0.9972602739726028,0.0
12,415.63,200.0,50.0,10000,11.875,1.0,100.0,153,80.0,7000,40.0,100.0,365,1,4411587.78259041,0.9972602739726028,0.0
13,162.5,200.0,50.0,10000,10.3125,1.0,100.0,134,80.0,7000,40.0,100.0,365,0,3054302.314705357,0.9972602739726028,0.0
13,162.5,200.0,50.0,10000,10.3125,1.0,100.0,134,80.0,7000,40.0,100.0,365,1,2340326.686770295,0.9972602739726028,206.3232876712329
14,50.0,200.0,50.0,10000,13.4375,1.0,100.0,144,80.0,7000,40.0,100.0,365,0,-862740.2874992881,0.8767123287671232,2001.0082191780823
14,50.0,200.0,50.0,10000,13.4375,1.0,100.0,144,80.0,7000,40.0,100.0,365,1,-966056.9410112307,0.6465753424657534,3657.205479452055
15,218.75,200.0,50.0,10000,14.0625,1.0,100.0,50,80.0,7000,40.0,100.0,365,0,1483174.6562094379,0.9972602739726028,0.0
15,218.75,200.0,50.0,10000,14.0625,1.0,100.0,50,80.0,7000,40.0,100.0,365,1,1060573.9305040059,0.9972602739726028,83.42465753424658
16,246.88,200.0,50.0,10000,10.625,1.0,100.0,88,80.0,7000,40.0,100.0,365,0,2904188.233585527,0.9972602739726028,0.0
16,246.88,200.0,50.0,10000,10.625,1.0,100.0,88,80.0,7000,40.0,100.0,365,1,2405828.349465391,0.9972602739726028,0.4821917808219178
