DesignPt#,mean_price,max_price,min_price,capacity,st_dev,holding_cost,prod_cost,max_prod_perday,price_prod,inven_stop,price_stop,price_sell,n_days,MacroRep#,total_profit,frac_producing,mean_stock
0,190.63,200.0,50.0,10000,15.0,1.0,100.0,172,80.0,7000,70.0,100.0,365,0,4479119.29760611,0.9972602739726028,0.4712328767123288
0,190.63,200.0,50.0,10000,15.0,1.0,100.0,172,80.0,7000,70.0,100.0,365,1,3236226.4272348387,0.8794520547945206,197.44657534246576
1,78.13,200.0,50.0,10000,11.25,1.0,100.0,181,80.0,7000,70.0,100.0,365,0,-111481.20950886465,0.6191780821917808,1085.504109589041
1,78.13,200.0,50.0,10000,11.25,1.0,100.0,181,80.0,7000,70.0,100.0,365,1,5169.643761152314,0.5671232876712329,1078.5616438356165
2,106.25,200.0,50.0,10000,12.1875,1.0,100.0,59,80.0,7000,70.0,100.0,365,0,383016.7901073237,0.9287671232876712,80.66027397260274
2,106.25,200.0,50.0,10000,12.1875,1.0,100.0,59,80.0,7000,70.0,100.0,365,1,344822.7924618391,0.7890410958904109,134.16438356164383
3,134.38,200.0,50.0,10000,13.125,1.0,100.0,97,80.0,7000,70.0,100.0,365,0,1349753.783871913,0.9945205479452055,15.945205479452055
3,134.38,200.0,50.0,10000,13.125,1.0,100.0,97,80.0,7000,70.0,100.0,365,1,1141527.531457297,0.8191780821917808,153.87123287671233
4,387.5,200.0,50.0,10000,14.6875,1.0,100.0,116,80.0,7000,70.0,100.0,365,0,3665150.6307834,0.9972602739726028,0.0
4,387.5,200.0,50.0,10000,14.6875,1.0,100.0,116,80.0,7000,70.0,100.0,365,1,2753465.3575160643,0.9561643835616438,61.654794520547945
5,500.0,200.0,50.0,10000,11.5625,1.0,100.0,106,80.0,7000,70.0,100.0,365,0,3590363.020245242,0.9972602739726028,0.0
5,500.0,200.0,50.0,10000,11.5625,1.0,100.0,106,80.0,7000,70.0,100.0,365,1,3208546.0013844995,0.9972602739726028,0.0
6,331.25,200.0,50.0,10000,10.9375,1.0,100.0,200,80.0,7000,70.0,100.0,365,0,6715894.354973971,0.9972602739726028,0.0
6,331.25,200.0,50.0,10000,10.9375,1.0,100.0,200,80.0,7000,70.0,100.0,365,1,5829726.392799002,0.9972602739726028,0.0
7,303.13,200.0,50.0,10000,14.375,1.0,100.0,163,80.0,7000,70.0,100.0,365,0,5070447.597886502,0.9972602739726028,0.0
7,303.13,200.0,50.0,10000,14.375,1.0,100.0,163,80.0,7000,70.0,100.0,365,1,3703854.6634941082,0.9452054794520548,96.01369863013699
8,275.0,200.0,50.0,10000,12.5,1.0,100.0,125,80.0,7000,70.0,100.0,365,0,4015368.912360516,0.9972602739726028,0.0
8,275.0,200.0,50.0,10000,12.5,1.0,100.0,125,80.0,7000,70.0,100.0,365,1,3091213.017090354,0.9753424657534246,35.273972602739725
9,359.38,200.0,50.0,10000,10.0,1.0,100.0,78,80.0,7000,70.0,100.0,365,0,2667094.1286656926,0.9972602739726028,0.0
9,359.38,200.0,50.0,10000,10.0,1.0,100.0,78,80.0,7000,70.0,100.0,365,1,2426732.9269573237,0.9972602739726028,0.0
10,471.88,200.0,50.0,10000,13.75,1.0,100.0,69,80.0,7000,70.0,100.0,365,0,2252425.352931983,0.9972602739726028,0.0
10,471.88,200.0,50.0,10000,13.75,1.0,100.0,69,80.0,7000,70.0,100.0,365,1,1828332.0113161397,0.9972602739726028,9.263013698630138
11,443.75,200.0,50.0,10000,12.8125,1.0,100.0,191,80.0,7000,70.0,100.0,365,0,6313715.959938469,0.9972602739726028,0.0
11,443.75,200.0,50.0,10000,12.8125,1.0,100.0,191,80.0,7000,70.0,100.0,365,1,5285419.667303598,0.9972602739726028,3.663013698630137
12,415.63,200.0,50.0,10000,11.875,1.0,100.0,153,80.0,7000,70.0,100.0,365,0,5118574.213094976,0.9972602739726028,0.0
12,415.63,200.0,50.0,10000,11.875,1.0,100.0,153,80.0,7000,70.0,100.0,365,1,4411587.78259041,0.9972602739726028,0.0
13,162.5,200.0,50.0,10000,10.3125,1.0,100.0,134,80.0,7000,70.0,100.0,365,0,3054302.314705357,0.9972602739726028,0.0
13,162.5,200.0,50.0,10000,10.3125,1.0,100.0,134,80.0,7000,70.0,100.0,365,1,2349017.523277366,0.9534246575342465,122.61917808219178
14,50.0,200.0,50.0,10000,13.4375,1.0,100.0,144,80.0,7000,70.0,100.0,365,0,30504.20388561618,0.4575342465753425,617.0301369863014
14,50.0,200.0,50.0,10000,13.4375,1.0,100.0,144,80.0,7000,70.0,100.0,365,1,-216117.8813546109,0.41643835616438357,1363.4630136986302
15,218.75,200.0,50.0,10000,14.0625,1.0,100.0,50,80.0,7000,70.0,100.0,365,0,1483174.6562094379,0.9972602739726028,0.0
15,218.75,200.0,50.0,10000,14.0625,1.0,100.0,50,80.0,7000,70.0,100.0,365,1,1066114.6270981913,0.9315068493150684,40.273972602739725
16,246.88,200.0,50.0,10000,10.625,1.0,100.0,88,80.0,7000,70.0,100.0,365,0,2904188.233585527,0.9972602739726028,0.0
16,246.88,200.0,50.0,10000,10.625,1.0,100.0,88,80.0,7000,70.0,100.0,365,1,2405828.349465391,0.9972602739726028,0.4821917808219178
