DesignPt#,mean_price,max_price,min_price,capacity,st_dev,holding_cost,prod_cost,max_prod_perday,price_prod,inven_stop,price_stop,price_sell,n_days,MacroRep#,total_profit,frac_producing,mean_stock
0,100.0,200.0,0.0,656,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213213.65619931323,0.9972602739726028,195.86849315068494
1,100.0,200.0,0.0,531,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213834.1702832441,0.9972602739726028,174.26849315068492
2,100.0,200.0,0.0,563,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213551.6869078307,0.9972602739726028,180.23013698630137
3,100.0,200.0,0.0,594,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213278.03113789886,0.9972602739726028,186.0054794520548
4,100.0,200.0,0.0,875,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213199.4583643122,0.9972602739726028,223.63013698630138
5,100.0,200.0,0.0,1000,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213697.7792866765,0.9972602739726028,234.7945205479452
6,100.0,200.0,0.0,813,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213349.09118681948,0.9972602739726028,217.0054794520548
7,100.0,200.0,0.0,781,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213347.06873834308,0.9972602739726028,213.16986301369863
8,100.0,200.0,0.0,750,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213292.57877786586,0.9972602739726028,209.17808219178082
9,100.0,200.0,0.0,844,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213274.27477556578,0.9972602739726028,220.3178082191781
10,100.0,200.0,0.0,969,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213524.5956979302,0.9972602739726028,232.16164383561645
11,100.0,200.0,0.0,938,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213351.4121091838,0.9972602739726028,229.52876712328768
12,100.0,200.0,0.0,906,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213172.64195305848,0.9972602739726028,226.81095890410958
13,100.0,200.0,0.0,625,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213219.97206496616,0.9972602739726028,191.02739726027397
14,100.0,200.0,0.0,500,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,214107.8260531759,0.9972602739726028,168.4931506849315
15,100.0,200.0,0.0,688,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213207.13659605867,0.9972602739726028,200.86575342465753
16,100.0,200.0,0.0,719,7.5,1.0,100.0,100,80.0,7000,40.0,100.0,365,0,213238.0888173887,0.9972602739726028,205.186301369863
