Design #,holding_cost,max_prod_perday,mean_price (default),max_price (default),min_price (default),capacity (default),st_dev (default),prod_cost (default),price_prod (default),inven_stop (default),price_stop (default),price_sell (default),n_days (default)
0,0.66,100,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
1,0.53,63,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
2,0.56,72,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
3,0.59,81,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
4,0.88,97,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
5,1.0,66,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
6,0.81,59,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
7,0.78,94,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
8,0.75,75,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
9,0.84,50,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
10,0.97,88,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
11,0.94,78,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
12,0.91,69,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
13,0.63,53,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
14,0.5,84,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
15,0.69,91,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
16,0.72,56,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
17,1.0,91,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
18,0.63,94,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
19,0.72,53,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
20,0.81,66,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
21,0.97,72,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
22,0.66,69,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
23,0.59,100,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
24,0.94,88,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
25,0.5,59,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
26,0.88,56,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
27,0.78,97,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
28,0.69,84,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
29,0.53,78,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
30,0.84,81,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
31,0.91,50,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
32,0.56,63,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
33,0.91,69,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
34,0.94,78,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
35,0.53,63,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
36,0.66,100,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
37,0.72,56,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
38,0.69,91,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
39,1.0,66,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
40,0.88,97,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
41,0.59,81,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
42,0.56,72,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
43,0.97,88,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
44,0.84,50,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
45,0.78,94,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
46,0.81,59,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
47,0.5,84,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
48,0.63,53,100.0,200.0,0.0,10000,7.5,100.0,80.0,7000,40,100,365
