Design #,max_prod_perday,mean_price (default),max_price (default),min_price (default),capacity (default),st_dev (default),holding_cost (default),prod_cost (default),price_prod (default),inven_stop (default),price_stop (default),price_sell (default),n_days (default)
0,97,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
1,59,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
2,69,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
3,78,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
4,163,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
5,200,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
6,144,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
7,134,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
8,125,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
9,153,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
10,191,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
11,181,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
12,172,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
13,88,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
14,50,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
15,106,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
16,116,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
17,200,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
18,88,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
19,116,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
20,144,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
21,191,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
22,97,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
23,78,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
24,181,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
25,50,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
26,163,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
27,134,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
28,106,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
29,59,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
30,153,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
31,172,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
32,69,100.0,200.0,0.0,10000,7.5,1.0,100.0,80.0,7000,40,100,365
