DesignPt#,lambda,mu,warmup,people,MacroRep#,avg_sojourn_time,avg_waiting_time,frac_cust_wait
0,1.5,1.31,20,50,0,4.713821838590662,3.966912268632999,0.98
1,1.5,1.06,20,50,0,11.199494271974798,10.276426784574289,1.0
2,1.5,1.13,20,50,0,8.929520290608604,8.06363397499397,1.0
3,1.5,1.19,20,50,0,7.196382893070896,6.374154711016663,1.0
4,1.5,1.75,20,50,0,1.8808141465182309,1.3216989827213517,0.82
5,1.5,2.0,20,50,0,1.248248254800134,0.7590224864778645,0.72
6,1.5,1.63,20,50,0,2.372080505097663,1.7718034887513208,0.86
7,1.5,1.56,20,50,0,2.705573083550193,2.0783605600601036,0.86
8,1.5,1.5,20,50,0,3.053143493629907,2.4008424692002146,0.88
9,1.5,1.69,20,50,0,2.1162736565734637,1.5373082502749202,0.84
10,1.5,1.94,20,50,0,1.348270214746904,0.8439137525589974,0.72
11,1.5,1.88,20,50,0,1.491299930765919,0.9708469857422282,0.76
12,1.5,1.81,20,50,0,1.6845564899285677,1.1439755304564465,0.78
13,1.5,1.25,20,50,0,5.629626685696807,4.846865456381176,1.0
14,1.5,1.0,20,50,0,13.456813386677837,12.478361850033293,1.0
15,1.5,1.38,20,50,0,3.9774017782300684,3.2683789255890976,0.92
16,1.5,1.44,20,50,0,3.462115145391989,2.7826349116110585,0.88
17,1.5,2.0,20,50,0,1.248248254800134,0.7590224864778645,0.72
18,1.5,1.25,20,50,0,5.629626685696807,4.846865456381176,1.0
19,1.5,1.44,20,50,0,3.462115145391989,2.7826349116110585,0.88
20,1.5,1.63,20,50,0,2.372080505097663,1.7718034887513208,0.86
21,1.5,1.94,20,50,0,1.348270214746904,0.8439137525589974,0.72
22,1.5,1.31,20,50,0,4.713821838590662,3.966912268632999,0.98
23,1.5,1.19,20,50,0,7.196382893070896,6.374154711016663,1.0
24,1.5,1.88,20,50,0,1.491299930765919,0.9708469857422282,0.76
25,1.5,1.0,20,50,0,13.456813386677837,12.478361850033293,1.0
26,1.5,1.75,20,50,0,1.8808141465182309,1.3216989827213517,0.82
27,1.5,1.56,20,50,0,2.705573083550193,2.0783605600601036,0.86
28,1.5,1.38,20,50,0,3.9774017782300684,3.2683789255890976,0.92
29,1.5,1.06,20,50,0,11.199494271974798,10.276426784574289,1.0
30,1.5,1.69,20,50,0,2.1162736565734637,1.5373082502749202,0.84
31,1.5,1.81,20,50,0,1.6845564899285677,1.1439755304564465,0.78
32,1.5,1.13,20,50,0,8.929520290608604,8.06363397499397,1.0
