DesignPt#,lambda,mu,warmup,people,MacroRep#,avg_sojourn_time,avg_waiting_time,frac_cust_wait
0,5.0,1.63,25,50,0,18.57876961626216,18.005719440086047,1.0
0,5.0,1.63,25,50,1,21.48748010965799,20.836418987421617,1.0
0,5.0,1.63,25,50,2,14.73008691598429,14.264058655390395,1.0
0,5.0,1.63,25,50,3,21.158266619991373,20.612574183459873,1.0
0,5.0,1.63,25,50,4,15.320735816335837,14.733406000803463,1.0
1,5.0,1.13,25,31,0,32.10264486342171,31.032829518488832,1.0
1,5.0,1.13,25,31,1,19.895680744887073,19.013728886162134,1.0
1,5.0,1.13,25,31,2,30.25765210834866,29.301551496312136,1.0
1,5.0,1.13,25,31,3,33.96248231329749,32.84160797870586,1.0
1,5.0,1.13,25,31,4,27.4779579247069,26.715490719217524,1.0
2,5.0,1.25,25,36,0,23.479358374423146,22.750502068844707,1.0
2,5.0,1.25,25,36,1,19.837915318911264,19.172470914186995,1.0
2,5.0,1.25,25,36,2,22.109959457378288,21.4174798853863,1.0
2,5.0,1.25,25,36,3,27.68093095617492,26.942712664260345,1.0
2,5.0,1.25,25,36,4,26.555967414323998,25.83620405085098,1.0
3,5.0,1.38,25,41,0,26.433442056283518,25.74163656357446,1.0
3,5.0,1.38,25,41,1,24.938203945954527,24.326058065193532,1.0
3,5.0,1.38,25,41,2,19.766905460760462,19.17998043422979,1.0
3,5.0,1.38,25,41,3,36.44668011248007,35.410713101421294,1.0
3,5.0,1.38,25,41,4,17.153624465194465,16.563854674129797,1.0
4,5.0,2.5,25,48,0,8.371946928142513,8.039112258661078,1.0
4,5.0,2.5,25,48,1,8.961100054988266,8.62259151532252,1.0
4,5.0,2.5,25,48,2,16.093897140411098,15.794489273459481,1.0
4,5.0,2.5,25,48,3,14.00873789641256,13.577968071286714,1.0
4,5.0,2.5,25,48,4,8.119874638300717,7.73808443014369,1.0
5,5.0,3.0,25,33,0,6.194509563645751,5.881323229454815,1.0
5,5.0,3.0,25,33,1,5.4148244580349205,5.0358287827005865,1.0
5,5.0,3.0,25,33,2,5.629036604222836,5.290290233245495,1.0
5,5.0,3.0,25,33,3,2.5027619833851893,2.260068679552618,1.0
5,5.0,3.0,25,33,4,4.617374538833723,4.316811826023907,1.0
6,5.0,2.25,25,30,0,10.95385778132904,10.499538648692777,1.0
6,5.0,2.25,25,30,1,14.83269105005311,14.118736549831482,1.0
6,5.0,2.25,25,30,2,12.215293086021044,11.694875804284546,1.0
6,5.0,2.25,25,30,3,8.949407275954067,8.473721024032162,1.0
6,5.0,2.25,25,30,4,10.041373784778397,9.584801938432063,1.0
7,5.0,2.13,25,47,0,9.558691722456915,9.151345875234663,1.0
7,5.0,2.13,25,47,1,15.464719396016998,14.85080404919298,1.0
7,5.0,2.13,25,47,2,15.339685785864104,14.882442698167823,1.0
7,5.0,2.13,25,47,3,15.369402063362164,14.928334888059922,1.0
7,5.0,2.13,25,47,4,9.835637935527778,9.346718965891535,1.0
8,5.0,2.0,25,38,0,22.63972988894254,22.04633375386923,1.0
8,5.0,2.0,25,38,1,9.928559284954463,9.464388628906102,1.0
8,5.0,2.0,25,38,2,11.284834042528795,10.76751970907951,1.0
8,5.0,2.0,25,38,3,5.385056022844187,4.967509210375191,1.0
8,5.0,2.0,25,38,4,17.55974423429609,16.8708514785729,1.0
9,5.0,2.38,25,25,0,8.82439543861488,8.35621351077787,1.0
9,5.0,2.38,25,25,1,5.903050921105433,5.576197284365281,1.0
9,5.0,2.38,25,25,2,9.069257443750919,8.597257841023698,1.0
9,5.0,2.38,25,25,3,9.730984811408167,9.312418068482756,1.0
9,5.0,2.38,25,25,4,9.858370653059586,9.245927402676633,1.0
10,5.0,2.88,25,44,0,13.50633475384542,13.046145080934133,1.0
10,5.0,2.88,25,44,1,7.251023516440361,6.922896164219993,1.0
10,5.0,2.88,25,44,2,14.51271922259343,14.141446503264921,1.0
10,5.0,2.88,25,44,3,8.13930856973737,7.741643273186236,1.0
10,5.0,2.88,25,44,4,7.9067540154035125,7.443284787055512,1.0
11,5.0,2.75,25,39,0,10.940955836621336,10.598595641908352,1.0
11,5.0,2.75,25,39,1,9.297102461789974,8.972043447374922,1.0
11,5.0,2.75,25,39,2,7.695544007414459,7.298984357342219,1.0
11,5.0,2.75,25,39,3,6.673201173715063,6.343461501382457,1.0
11,5.0,2.75,25,39,4,3.6511295685386833,3.3503033743649158,1.0
12,5.0,2.63,25,34,0,8.786870652582346,8.434853865272006,1.0
12,5.0,2.63,25,34,1,8.697598385931935,8.241995834645857,1.0
12,5.0,2.63,25,34,2,7.751155778980326,7.372292437000404,1.0
12,5.0,2.63,25,34,3,13.796484115354247,13.366997539712614,1.0
12,5.0,2.63,25,34,4,7.213657234488623,6.924119620435998,1.0
13,5.0,1.5,25,27,0,16.943897919485714,16.363812938528547,1.0
13,5.0,1.5,25,27,1,13.20977903194672,12.565121748912807,1.0
13,5.0,1.5,25,27,2,14.760499313591124,14.058747379822037,1.0
13,5.0,1.5,25,27,3,14.181865872991589,13.642412769068374,1.0
13,5.0,1.5,25,27,4,18.63158150535961,18.08514892193839,1.0
14,5.0,1.0,25,42,0,33.80089642912288,33.12021316674341,1.0
14,5.0,1.0,25,42,1,33.79510433422519,32.76204308033077,1.0
14,5.0,1.0,25,42,2,45.83414045528024,44.664981783927225,1.0
14,5.0,1.0,25,42,3,49.45356529446127,48.43649317032819,1.0
14,5.0,1.0,25,42,4,36.1395693888402,34.94472964197597,1.0
15,5.0,1.75,25,45,0,16.26582673259658,15.730203996769912,1.0
15,5.0,1.75,25,45,1,17.24509079498171,16.730777571448527,1.0
15,5.0,1.75,25,45,2,18.18343640486733,17.593375174498888,1.0
15,5.0,1.75,25,45,3,15.45786466070932,14.847632411774061,1.0
15,5.0,1.75,25,45,4,16.006333896042253,15.29307859856867,1.0
16,5.0,1.88,25,28,0,15.333518683877756,14.728350661978263,1.0
16,5.0,1.88,25,28,1,8.896629224625318,8.370390930178164,1.0
16,5.0,1.88,25,28,2,8.71738567035913,8.329629988421248,1.0
16,5.0,1.88,25,28,3,10.56745620702037,10.067517224085497,1.0
16,5.0,1.88,25,28,4,16.82802669951047,16.22166133203294,1.0
17,5.0,3.0,25,45,0,8.06968981387259,7.710437409542781,1.0
17,5.0,3.0,25,45,1,7.8400871896782105,7.546861025091707,1.0
17,5.0,3.0,25,45,2,10.241074147010087,9.902019275726351,1.0
17,5.0,3.0,25,45,3,9.66562510059375,9.311183017188373,1.0
17,5.0,3.0,25,45,4,8.246291944610624,7.867942396053679,1.0
18,5.0,1.5,25,47,0,19.950263544726898,19.129031914519775,1.0
18,5.0,1.5,25,47,1,14.482372297169215,13.904270934118385,1.0
18,5.0,1.5,25,47,2,25.833061067346307,25.313712153879013,1.0
18,5.0,1.5,25,47,3,23.109947856244922,22.343624102421945,1.0
18,5.0,1.5,25,47,4,22.645845133926674,21.966642023619414,1.0
19,5.0,1.88,25,27,0,12.1914003357618,11.702658977717439,1.0
19,5.0,1.88,25,27,1,15.613193034084722,15.13476362457068,1.0
19,5.0,1.88,25,27,2,16.381604728011624,15.845212676111712,1.0
19,5.0,1.88,25,27,3,10.297577991721694,9.960534069801016,1.0
19,5.0,1.88,25,27,4,17.446900700311204,16.879076631397382,1.0
20,5.0,2.25,25,33,0,12.296706797962928,11.834023803589734,1.0
20,5.0,2.25,25,33,1,12.084750998167026,11.643357673576583,1.0
20,5.0,2.25,25,33,2,9.314248703421846,8.950280861462895,1.0
20,5.0,2.25,25,33,3,6.340551145013905,5.916700608533111,1.0
20,5.0,2.25,25,33,4,10.338098811540071,9.819765539020752,1.0
21,5.0,2.88,25,36,0,8.934482622630675,8.516078045921093,1.0
21,5.0,2.88,25,36,1,7.887737037739557,7.478105870451894,1.0
21,5.0,2.88,25,36,2,6.241635187447312,5.949019816869806,1.0
21,5.0,2.88,25,36,3,4.3155852684735105,3.9188231932763262,1.0
21,5.0,2.88,25,36,4,3.2889956717393765,2.930116682787949,1.0
22,5.0,1.63,25,34,0,21.287941130859334,20.749124324596735,1.0
22,5.0,1.63,25,34,1,14.771871054046482,14.262096725555166,1.0
22,5.0,1.63,25,34,2,15.702909077247243,15.185975635217464,1.0
22,5.0,1.63,25,34,3,18.61115467749883,18.06659797252501,1.0
22,5.0,1.63,25,34,4,18.900586674436777,18.12373530312091,1.0
23,5.0,1.38,25,50,0,24.84456796961514,24.252407881585203,1.0
23,5.0,1.38,25,50,1,29.242740189220047,28.46447778678958,1.0
23,5.0,1.38,25,50,2,15.989924377930372,15.284444331676841,1.0
23,5.0,1.38,25,50,3,33.82098993007464,32.967392571968496,1.0
23,5.0,1.38,25,50,4,31.978918208646743,31.23350289983025,1.0
24,5.0,2.75,25,44,0,10.548983319330704,10.150247295803943,1.0
24,5.0,2.75,25,44,1,6.960732708251931,6.65477813121602,1.0
24,5.0,2.75,25,44,2,3.767889676451704,3.4543932097296097,1.0
24,5.0,2.75,25,44,3,8.383761956998251,7.979871877160216,1.0
24,5.0,2.75,25,44,4,7.985537001698987,7.6381055215495905,1.0
25,5.0,1.0,25,30,0,24.433411755411395,23.585387371432155,1.0
25,5.0,1.0,25,30,1,27.03244164692124,25.952230667562613,1.0
25,5.0,1.0,25,30,2,33.73540600585748,32.95150315579801,1.0
25,5.0,1.0,25,30,3,41.93307284326466,40.867928169512204,1.0
25,5.0,1.0,25,30,4,36.515092723800876,35.71780152507207,1.0
26,5.0,2.5,25,28,0,9.589143914622648,9.164046234359564,1.0
26,5.0,2.5,25,28,1,5.3680177947723395,5.054186915339309,1.0
26,5.0,2.5,25,28,2,8.663920415077529,8.299271205338751,1.0
26,5.0,2.5,25,28,3,6.649203045971681,6.236171893435645,1.0
26,5.0,2.5,25,28,4,7.732199947822464,7.341088726219096,1.0
27,5.0,2.13,25,48,0,16.83294628393328,16.36536170412889,1.0
27,5.0,2.13,25,48,1,10.59040783882174,10.17281803359105,1.0
27,5.0,2.13,25,48,2,13.597825930288614,13.088958047014037,1.0
27,5.0,2.13,25,48,3,16.793328115551976,16.290053767284547,1.0
27,5.0,2.13,25,48,4,13.944737658041538,13.551277307335203,1.0
28,5.0,1.75,25,42,0,16.95236184394505,16.401831812814446,1.0
28,5.0,1.75,25,42,1,15.615888549901204,14.901082142333559,1.0
28,5.0,1.75,25,42,2,13.098039504145095,12.497992562557531,1.0
28,5.0,1.75,25,42,3,17.89769942359794,17.26943323614915,1.0
28,5.0,1.75,25,42,4,13.60741081360125,13.156088516923294,1.0
29,5.0,1.13,25,39,0,27.829368424279764,26.79634352345115,1.0
29,5.0,1.13,25,39,1,31.44241922612685,30.725556309922702,1.0
29,5.0,1.13,25,39,2,30.404595456242706,29.438234116486562,1.0
29,5.0,1.13,25,39,3,23.895485481937246,23.129085463353864,1.0
29,5.0,1.13,25,39,4,34.0856115488992,33.19601717320338,1.0
30,5.0,2.38,25,41,0,7.564795809021934,7.221207017688569,1.0
30,5.0,2.38,25,41,1,7.444927901945957,7.050680102583191,1.0
30,5.0,2.38,25,41,2,12.45663465981199,12.013119068192083,1.0
30,5.0,2.38,25,41,3,14.99458674506521,14.544702617888223,1.0
30,5.0,2.38,25,41,4,8.420755817352001,7.939919619686253,1.0
31,5.0,2.63,25,25,0,8.454598740842872,8.031189683865428,1.0
31,5.0,2.63,25,25,1,7.1399207519523396,6.689992304337214,1.0
31,5.0,2.63,25,25,2,6.5514926963043845,6.1730386992710775,1.0
31,5.0,2.63,25,25,3,11.263541636525346,10.868244783724885,1.0
31,5.0,2.63,25,25,4,9.023158168014454,8.670042209741187,1.0
32,5.0,1.25,25,31,0,20.676131755553804,20.05740577918347,1.0
32,5.0,1.25,25,31,1,23.32497490929938,22.59427408066766,1.0
32,5.0,1.25,25,31,2,36.27441476585415,35.200981836794604,1.0
32,5.0,1.25,25,31,3,24.053132816485622,23.261585861977718,1.0
32,5.0,1.25,25,31,4,26.146161363108618,25.431301250020756,1.0
