Design #,mu,people,lambda (default),warmup (default)
0,1.63,50,5,20
1,1.13,31,5,20
2,1.25,36,5,20
3,1.38,41,5,20
4,2.5,48,5,20
5,3.0,33,5,20
6,2.25,30,5,20
7,2.13,47,5,20
8,2.0,38,5,20
9,2.38,25,5,20
10,2.88,44,5,20
11,2.75,39,5,20
12,2.63,34,5,20
13,1.5,27,5,20
14,1.0,42,5,20
15,1.75,45,5,20
16,1.88,28,5,20
17,3.0,45,5,20
18,1.5,47,5,20
19,1.88,27,5,20
20,2.25,33,5,20
21,2.88,36,5,20
22,1.63,34,5,20
23,1.38,50,5,20
24,2.75,44,5,20
25,1.0,30,5,20
26,2.5,28,5,20
27,2.13,48,5,20
28,1.75,42,5,20
29,1.13,39,5,20
30,2.38,41,5,20
31,2.63,25,5,20
32,1.25,31,5,20
