Design #,cost,initial_solution,budget,Name,Design Type,Number Stacks
0,63.88,"(5.0,)",1000,MM1-1,nolhs,1
1,14.38,"(5.0,)",1000,MM1-1,nolhs,1
2,26.75,"(5.0,)",1000,MM1-1,nolhs,1
3,39.13,"(5.0,)",1000,MM1-1,nolhs,1
4,150.5,"(5.0,)",1000,MM1-1,nolhs,1
5,200.0,"(5.0,)",1000,MM1-1,nolhs,1
6,125.75,"(5.0,)",1000,MM1-1,nolhs,1
7,113.38,"(5.0,)",1000,MM1-1,nolhs,1
8,101.0,"(5.0,)",1000,MM1-1,nolhs,1
9,138.13,"(5.0,)",1000,MM1-1,nolhs,1
10,187.63,"(5.0,)",1000,MM1-1,nolhs,1
11,175.25,"(5.0,)",1000,MM1-1,nolhs,1
12,162.88,"(5.0,)",1000,MM1-1,nolhs,1
13,51.5,"(5.0,)",1000,MM1-1,nolhs,1
14,2.0,"(5.0,)",1000,MM1-1,nolhs,1
15,76.25,"(5.0,)",1000,MM1-1,nolhs,1
16,88.63,"(5.0,)",1000,MM1-1,nolhs,1
