Design #,warmup,lambda,mu,people,Name,Design Type,Number Stacks
0,18,1.5,3.0,50,MM1,nolhs,1
1,4,1.5,3.0,50,MM1,nolhs,1
2,8,1.5,3.0,50,MM1,nolhs,1
3,11,1.5,3.0,50,MM1,nolhs,1
4,42,1.5,3.0,50,MM1,nolhs,1
5,56,1.5,3.0,50,MM1,nolhs,1
6,35,1.5,3.0,50,MM1,nolhs,1
7,32,1.5,3.0,50,MM1,nolhs,1
8,29,1.5,3.0,50,MM1,nolhs,1
9,39,1.5,3.0,50,MM1,nolhs,1
10,53,1.5,3.0,50,MM1,nolhs,1
11,49,1.5,3.0,50,MM1,nolhs,1
12,46,1.5,3.0,50,MM1,nolhs,1
13,15,1.5,3.0,50,MM1,nolhs,1
14,1,1.5,3.0,50,MM1,nolhs,1
15,22,1.5,3.0,50,MM1,nolhs,1
16,25,1.5,3.0,50,MM1,nolhs,1
