DesignPt#,lambda,mu,warmup,people,MacroRep#,avg_sojourn_time,avg_waiting_time,frac_cust_wait
0,1.5,3.0,20,48,0,0.5710876420015496,0.25426862391847865,0.4583333333333333
0,1.5,3.0,20,48,1,0.6370783979064766,0.24888426573171973,0.5833333333333334
0,1.5,3.0,20,48,2,0.36590285055794664,0.10985699932760895,0.3333333333333333
0,1.5,3.0,20,48,3,0.6596095492434243,0.34254582834582936,0.5833333333333334
0,1.5,3.0,20,48,4,0.4791004016497695,0.19491072724413785,0.4166666666666667
1,1.5,3.0,20,38,0,0.5642494893016995,0.27195396990189274,0.4473684210526316
1,1.5,3.0,20,38,1,0.706196244380676,0.258524242640768,0.5526315789473685
1,1.5,3.0,20,38,2,0.3103147084834556,0.07598301482450136,0.2631578947368421
1,1.5,3.0,20,38,3,0.6999495362711753,0.396677923832217,0.6578947368421053
1,1.5,3.0,20,38,4,0.4988265533517293,0.23744694763855315,0.4473684210526316
2,1.5,3.0,20,40,0,0.5759771096501748,0.27139329808542045,0.475
2,1.5,3.0,20,40,1,0.7098624118850974,0.2732392818997882,0.575
2,1.5,3.0,20,40,2,0.3092897820694167,0.07218386408327633,0.25
2,1.5,3.0,20,40,3,0.6760239265011068,0.3768440276406063,0.625
2,1.5,3.0,20,40,4,0.49383881948898256,0.22557460025662573,0.425
3,1.5,3.0,20,43,0,0.5723935368500905,0.26865659700226063,0.4883720930232558
3,1.5,3.0,20,43,1,0.6867085929589146,0.2719851194716784,0.5813953488372093
3,1.5,3.0,20,43,2,0.3254977041300769,0.07900420473162671,0.27906976744186046
3,1.5,3.0,20,43,3,0.6506623991129316,0.3505525838517269,0.5813953488372093
3,1.5,3.0,20,43,4,0.47709281049984514,0.21732096597678935,0.4418604651162791
4,1.5,3.0,20,67,0,0.5079366492540531,0.19773020913573744,0.43283582089552236
4,1.5,3.0,20,67,1,0.6111230512620488,0.2405282985718788,0.5970149253731343
4,1.5,3.0,20,67,2,0.45884566110555414,0.18231927335245646,0.34328358208955223
4,1.5,3.0,20,67,3,0.6762242413290268,0.33244653929505935,0.5671641791044776
4,1.5,3.0,20,67,4,0.4599317217602111,0.1706196330027946,0.3880597014925373
5,1.5,3.0,20,78,0,0.5011233543609509,0.18478980511593263,0.4358974358974359
5,1.5,3.0,20,78,1,0.6213282700940534,0.25269040912944285,0.6025641025641025
5,1.5,3.0,20,78,2,0.5446997062936676,0.2747824155100399,0.4230769230769231
5,1.5,3.0,20,78,3,0.6762412039386413,0.3374148670627258,0.5769230769230769
5,1.5,3.0,20,78,4,0.4759435792626323,0.17899649124592892,0.3974358974358974
6,1.5,3.0,20,62,0,0.5222208679485479,0.20722780976670743,0.4032258064516129
6,1.5,3.0,20,62,1,0.6088221990270538,0.24333559395051296,0.5967741935483871
6,1.5,3.0,20,62,2,0.3356740182315654,0.09052406689957818,0.2903225806451613
6,1.5,3.0,20,62,3,0.6437682974338877,0.31386870308241,0.5483870967741935
6,1.5,3.0,20,62,4,0.48502372429399443,0.1843056123630022,0.4032258064516129
7,1.5,3.0,20,59,0,0.5276711549388692,0.21776481704298056,0.423728813559322
7,1.5,3.0,20,59,1,0.6112944241533443,0.237555971620063,0.5932203389830508
7,1.5,3.0,20,59,2,0.33889438307128567,0.0893751858936479,0.2711864406779661
7,1.5,3.0,20,59,3,0.6304397713575578,0.3156477763223796,0.5423728813559322
7,1.5,3.0,20,59,4,0.49508273891224935,0.19367708417807017,0.423728813559322
8,1.5,3.0,20,57,0,0.5441310656645705,0.22416421238609777,0.42105263157894735
8,1.5,3.0,20,57,1,0.6057672601338939,0.23445599400863226,0.5789473684210527
8,1.5,3.0,20,57,2,0.3402959650754355,0.09251115732851271,0.2807017543859649
8,1.5,3.0,20,57,3,0.6368923796899385,0.3154983363796594,0.5263157894736842
8,1.5,3.0,20,57,4,0.4962519625636592,0.19460303029002474,0.42105263157894735
9,1.5,3.0,20,65,0,0.5117319991346703,0.20200889094039817,0.4153846153846154
9,1.5,3.0,20,65,1,0.6136874604104886,0.243096700717964,0.6
9,1.5,3.0,20,65,2,0.39868605985036143,0.12888017382604197,0.3230769230769231
9,1.5,3.0,20,65,3,0.6855227894042983,0.3340356859765692,0.5692307692307692
9,1.5,3.0,20,65,4,0.46871727014288445,0.17586946786441898,0.4
10,1.5,3.0,20,75,0,0.5058233715344278,0.18806781820497598,0.4266666666666667
10,1.5,3.0,20,75,1,0.6350325140825346,0.2572404523087154,0.6
10,1.5,3.0,20,75,2,0.5434962571053432,0.27559733733545655,0.4
10,1.5,3.0,20,75,3,0.68593864426842,0.3475352719906629,0.5733333333333334
10,1.5,3.0,20,75,4,0.4908815476928491,0.18615635089576613,0.41333333333333333
11,1.5,3.0,20,73,0,0.4905538520795675,0.1869218081024695,0.4246575342465753
11,1.5,3.0,20,73,1,0.6355305901940205,0.25446255642957966,0.6027397260273972
11,1.5,3.0,20,73,2,0.5544618469863983,0.2814104815946144,0.3972602739726027
11,1.5,3.0,20,73,3,0.7000399062192001,0.357056786291777,0.589041095890411
11,1.5,3.0,20,73,4,0.48509620733180764,0.1841383225524899,0.410958904109589
12,1.5,3.0,20,70,0,0.4920424139911115,0.18939878593033374,0.42857142857142855
12,1.5,3.0,20,70,1,0.6376490059842614,0.2615193064321037,0.6142857142857143
12,1.5,3.0,20,70,2,0.5222330159776906,0.2447645252010124,0.37142857142857144
12,1.5,3.0,20,70,3,0.6941252312344521,0.3444041637124537,0.5714285714285714
12,1.5,3.0,20,70,4,0.48149116631818234,0.17895922120939461,0.4
