DesignPt#,crn_across_solns,r,alpha,gammap,betap,delta,sensitivity,initial_spread,initial_solution,budget,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,19,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08242122992267187,0.14392028750203312,0.209,1,0.209,1,0.209,1,0.209,1
0,True,19,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,-0.08772653970391783,0.5322775883825218,0.57,1,0.57,1,0.57,1,0.57,1
1,True,5,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08242122995527171,-0.022857672728641074,0.055,1,0.055,1,0.055,1,0.055,1
1,True,5,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,-0.0877265397113003,0.07543244136647784,0.15,1,0.15,1,0.15,1,0.15,1
2,True,8,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08242122995527171,0.012880461607337294,0.088,1,0.088,1,0.088,1,0.088,1
2,True,8,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,-0.0877265397113003,0.17332783001314478,0.24,1,0.24,1,0.24,1,0.24,1
3,True,12,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08242122995527171,0.06053130738864181,0.132,1,0.132,1,0.132,1,0.132,1
3,True,12,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,-0.0877265397113003,0.30385501487536726,0.36,1,0.36,1,0.36,1,0.36,1
4,True,45,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08240485309519832,0.45364135832878366,0.495,1,0.495,1,0.495,1,0.495,1
4,True,45,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
5,True,60,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08151251457500126,0.6322857450444996,0.66,1,0.66,1,0.66,1,0.66,1
5,True,60,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
6,True,38,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08240485309519832,0.3702563921072753,0.418,1,0.418,1,0.418,1,0.418,1
6,True,38,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
7,True,34,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08240485309519832,0.32260783998069914,0.374,1,0.374,1,0.374,1,0.374,1
7,True,34,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
8,True,31,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08240485309519832,0.28687142588576703,0.341,1,0.341,1,0.341,1,0.341,1
8,True,31,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,-0.08772653800999516,0.9238591423393004,0.93,1,0.93,1,0.93,1,0.93,1
9,True,42,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08240485309519832,0.4179049442338515,0.462,1,0.462,1,0.462,1,0.462,1
9,True,42,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
10,True,56,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08223954485735867,0.5846642969496464,0.616,1,0.616,1,0.616,1,0.616,1
10,True,56,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
11,True,53,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08223954485735867,0.5489373054242711,0.583,1,0.583,1,0.583,1,0.583,1
11,True,53,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
12,True,49,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08240485309519832,0.5012899104553598,0.539,1,0.539,1,0.539,1,0.539,1
12,True,49,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,1.0,1.0,inf,0,inf,0,inf,0,inf,0
13,True,16,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08242122994312917,0.10818215316944585,0.176,1,0.176,1,0.176,1,0.176,1
13,True,16,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,-0.08772653970391783,0.4343821997372945,0.48,1,0.48,1,0.48,1,0.48,1
14,True,1,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08242122995527171,-0.07050851850994559,0.011,1,0.011,1,0.011,1,0.011,1
14,True,1,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,-0.0877265397113003,-0.055094743495744676,0.03,1,0.03,1,0.03,1,0.03,1
15,True,23,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08242121241548779,0.19157113185145083,0.253,1,0.253,1,0.253,1,0.253,1
15,True,23,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,-0.08772653869831408,0.6628047731920435,0.69,1,0.69,1,0.69,1,0.69,1
16,True,27,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,0,-0.08242121241548779,0.2392219743326576,0.297,1,0.297,1,0.297,1,0.297,1
16,True,27,1.0,2.0,0.5,0.5,1e-07,0.1,"(2.0, 2.0)",1000,1,-0.08772653800999516,0.793331957778101,0.81,1,0.81,1,0.81,1,0.81,1
