Design #,r,crn_across_solns,alpha,gammap,betap,delta,sensitivity,initial_spread,Name,Design Type,Number Stacks
0,17,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
1,7,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
2,9,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
3,12,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
4,36,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
5,46,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
6,30,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
7,28,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
8,25,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
9,33,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
10,43,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
11,41,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
12,38,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
13,15,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
14,4,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
15,20,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
16,22,True,1.0,2.0,0.5,0.5,1e-07,0.1,NELDMD,nolhs,1
