Solver Name:,NELDMD
Design Type:,NOLH
Number of Stacks:,1
Design Factors:,r
Fixed Factors:,crn_across_solns,alpha,gammap,betap,delta,sensitivity,initial_spread
Design #,r,crn_across_solns (fixed),alpha (fixed),gammap (fixed),betap (fixed),delta (fixed),sensitivity (fixed),initial_spread (fixed)
0,19,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
1,5,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
2,8,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
3,12,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
4,45,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
5,60,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
6,38,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
7,34,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
8,31,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
9,42,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
10,56,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
11,53,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
12,49,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
13,16,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
14,1,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
15,23,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
16,27,TRUE,1.0,2.0,0.5,0.5,1e-7,0.1
