Design #,r,betap,crn_across_solns,alpha,gammap,delta,sensitivity,initial_spread,Solver Name,Design Type,Number Stacks
0,26,0.7,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
1,17,0.4,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
2,19,0.475,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
3,22,0.55,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
4,41,0.675,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
5,50,0.425,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
6,37,0.375,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
7,35,0.65,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
8,33,0.5,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
9,39,0.3,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
10,48,0.6,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
11,46,0.525,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
12,43,0.45,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
13,24,0.325,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
14,15,0.575,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
15,28,0.625,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
16,30,0.35,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
17,50,0.625,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
18,24,0.65,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
19,30,0.325,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
20,37,0.425,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
21,48,0.475,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
22,26,0.45,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
23,22,0.7,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
24,46,0.6,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
25,15,0.375,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
26,41,0.35,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
27,35,0.675,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
28,28,0.575,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
29,17,0.525,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
30,39,0.55,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
31,43,0.3,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
32,19,0.4,True,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
33,26,0.7,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
34,17,0.4,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
35,19,0.475,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
36,22,0.55,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
37,41,0.675,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
38,50,0.425,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
39,37,0.375,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
40,35,0.65,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
41,33,0.5,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
42,39,0.3,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
43,48,0.6,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
44,46,0.525,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
45,43,0.45,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
46,24,0.325,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
47,15,0.575,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
48,28,0.625,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
49,30,0.35,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
50,50,0.625,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
51,24,0.65,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
52,30,0.325,False,1.0,2.0,0.5,1e-07,0.1,NELDMD,nolhs,2
