Design #,cost,time_horizon,prices,demand_means,gamma_shape,gamma_scale,initial_inventory,reservation_qtys,Name,Design Type,Number Stacks
0,59,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
1,44,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
2,48,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
3,51,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
4,85,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
5,100,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
6,78,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
7,74,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
8,70,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
9,81,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
10,96,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
11,93,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
12,89,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
13,55,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
14,40,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
15,63,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
16,66,3,"[100, 300, 400]","[50, 20, 30]",1.0,1.0,100,"[50, 30]",RMITD,nolhs,1
