Design #,budget,initial_solution,Name,Design Type,Number Stacks
0,191,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
1,78,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
2,106,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
3,134,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
4,388,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
5,500,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
6,331,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
7,303,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
8,275,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
9,359,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
10,472,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
11,444,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
12,416,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
13,163,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
14,50,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
15,219,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
16,247,"(100.0, 50.0, 30.0)",RMITD-1,nolhs,1
