Design #,sample_size,crn_across_solns,Name,Design Type,Number Stacks
0,13,False,RNDSRCH,nolhs,1
1,7,False,RNDSRCH,nolhs,1
2,8,False,RNDSRCH,nolhs,1
3,10,False,RNDSRCH,nolhs,1
4,24,False,RNDSRCH,nolhs,1
5,30,False,RNDSRCH,nolhs,1
6,21,False,RNDSRCH,nolhs,1
7,19,False,RNDSRCH,nolhs,1
8,18,False,RNDSRCH,nolhs,1
9,22,False,RNDSRCH,nolhs,1
10,28,False,RNDSRCH,nolhs,1
11,27,False,RNDSRCH,nolhs,1
12,25,False,RNDSRCH,nolhs,1
13,11,False,RNDSRCH,nolhs,1
14,5,False,RNDSRCH,nolhs,1
15,14,False,RNDSRCH,nolhs,1
16,16,False,RNDSRCH,nolhs,1
