DesignPt#,crn_across_solns,sample_size,initial_solution,budget,installation_costs,epsilon,n_fac,mean_vec,cov,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,4,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",0,0.40247178866151195,0.5155355885285031,inf,0,inf,0,inf,0,0.9064,1
0,True,4,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",1,0.33855170084642694,0.444756851612458,inf,0,inf,0,inf,0,0.1432,1
1,True,2,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",0,0.27402889593487323,0.3173134614985471,inf,0,inf,0,inf,0,0.0048,1
1,True,2,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",1,0.30805373756990956,0.446285741683454,inf,0,inf,0,inf,0,0.1132,1
2,True,2,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",0,0.27402889593487323,0.3173134614985471,inf,0,inf,0,inf,0,0.0048,1
2,True,2,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",1,0.30805373756990956,0.446285741683454,inf,0,inf,0,inf,0,0.1132,1
3,True,3,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",0,0.28677228919971115,0.3325840476479651,inf,0,inf,0,inf,0,0.0072,1
3,True,3,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",1,0.33855170084642694,0.3814452362600941,inf,0,inf,0,inf,0,0.1026,1
4,True,8,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",0,0.5139368420584648,0.538000592994451,inf,0,inf,0,inf,0,inf,0
4,True,8,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",1,0.286830731747196,0.465922773914839,inf,0,inf,0,inf,0,0.2488,1
5,True,10,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",0,0.5139368420584648,0.5440165307284476,inf,0,inf,0,inf,0,inf,0
5,True,10,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",1,0.42491220901866683,0.6234432796272835,inf,0,inf,0,inf,0,0.683,1
6,True,7,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",0,0.5139368420584648,0.5349926241274527,inf,0,inf,0,inf,0,inf,0
6,True,7,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",1,0.286830731747196,0.38402490319124083,inf,0,inf,0,inf,0,0.0924,1
7,True,6,"(300.0, 300.0, 300.0)",10000,"(1.0, 1.0, 1.0)",0.05,3,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]",0,0.5139368420584648,0.5319846552604545,inf,0,inf,0,inf,0,inf,0
