DesignPt#,crn_across_solns,sample_size,initial_solution,budget,cost,lambda,people,warmup,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,7,"(5.0,)",1000,0.1,1.5,50,20,0,0.04217239181657358,0.05605792711306731,0.028,1,0.014,1,0.014,1,0.014,1
0,True,7,"(5.0,)",1000,0.1,1.5,50,20,1,-0.0008060422840890239,0.09331084613988759,0.14,1,0.091,1,0.091,1,0.091,1
1,True,2,"(5.0,)",1000,0.1,1.5,50,20,0,0.04054089299317289,0.045104478453880006,0.008,1,0.004,1,0.004,1,0.004,1
1,True,2,"(5.0,)",1000,0.1,1.5,50,20,1,-0.001689884655349184,0.008855284658569537,0.114,1,0.004,1,0.004,1,0.004,1
2,True,3,"(5.0,)",1000,0.1,1.5,50,20,0,0.04070953447296419,0.04737581541248649,0.012,1,0.006,1,0.006,1,0.006,1
2,True,3,"(5.0,)",1000,0.1,1.5,50,20,1,0.001572258211012384,0.013718852879260963,0.015,1,0.015,1,0.015,1,0.015,1
3,True,5,"(5.0,)",1000,0.1,1.5,50,20,0,0.04217239181657358,0.0520906313140691,0.02,1,0.01,1,0.01,1,0.01,1
3,True,5,"(5.0,)",1000,0.1,1.5,50,20,1,0.00010151052023215157,0.010787110422761865,0.02,1,0.01,1,0.01,1,0.01,1
4,True,15,"(5.0,)",1000,0.1,1.5,50,20,0,0.042995152338922336,0.07258006511601195,0.06,1,0.03,1,0.03,1,0.03,1
4,True,15,"(5.0,)",1000,0.1,1.5,50,20,1,0.0023798729539101695,0.03219141211682917,0.03,1,0.03,1,0.03,1,0.03,1
5,True,20,"(5.0,)",1000,0.1,1.5,50,20,0,0.04272650579333446,0.08158948112159076,0.08,1,0.04,1,0.04,1,0.04,1
5,True,20,"(5.0,)",1000,0.1,1.5,50,20,1,0.0,0.05898581548999277,0.1,1,0.1,1,0.06,1,0.04,1
6,True,13,"(5.0,)",1000,0.1,1.5,50,20,0,0.042995152338922336,0.06863541007906666,0.052,1,0.026,1,0.026,1,0.026,1
6,True,13,"(5.0,)",1000,0.1,1.5,50,20,1,0.0023798729539101695,0.10260686129848458,0.117,1,0.117,1,0.117,1,0.091,1
7,True,12,"(5.0,)",1000,0.1,1.5,50,20,0,0.042995152338922336,0.06666308256059403,0.048,1,0.024,1,0.024,1,0.024,1
7,True,12,"(5.0,)",1000,0.1,1.5,50,20,1,0.0023798729539101695,0.026322756003016326,0.024,1,0.024,1,0.024,1,0.024,1
8,True,11,"(5.0,)",1000,0.1,1.5,50,20,0,0.042995152338922336,0.06469075504212138,0.044,1,0.022,1,0.022,1,0.022,1
8,True,11,"(5.0,)",1000,0.1,1.5,50,20,1,-0.0019534171295072238,0.0447184282675339,0.055,1,0.055,1,0.055,1,0.055,1
9,True,14,"(5.0,)",1000,0.1,1.5,50,20,0,0.042995152338922336,0.07006759826136369,0.056,1,0.028,1,0.028,1,0.028,1
9,True,14,"(5.0,)",1000,0.1,1.5,50,20,1,0.0023798729539101695,0.032750581231355734,0.07,1,0.028,1,0.028,1,0.028,1
10,True,19,"(5.0,)",1000,0.1,1.5,50,20,0,0.04272650579333446,0.07964633235517794,0.076,1,0.038,1,0.038,1,0.038,1
10,True,19,"(5.0,)",1000,0.1,1.5,50,20,1,0.0,0.04179190708921026,0.038,1,0.038,1,0.038,1,0.038,1
11,True,18,"(5.0,)",1000,0.1,1.5,50,20,0,0.04272650579333446,0.07770318358876513,0.072,1,0.036,1,0.036,1,0.036,1
11,True,18,"(5.0,)",1000,0.1,1.5,50,20,1,0.0023798729539101695,0.09399908206333968,0.108,1,0.09,1,0.09,1,0.09,1
12,True,16,"(5.0,)",1000,0.1,1.5,50,20,0,0.042995152338922336,0.07455239263448458,0.064,1,0.032,1,0.032,1,0.032,1
12,True,16,"(5.0,)",1000,0.1,1.5,50,20,1,0.0023798729539101695,0.05469809472992007,0.08,1,0.08,1,0.08,1,0.032,1
13,True,6,"(5.0,)",1000,0.1,1.5,50,20,0,0.04217239181657358,0.05407427921356821,0.024,1,0.012,1,0.012,1,0.012,1
13,True,6,"(5.0,)",1000,0.1,1.5,50,20,1,-0.002228288492754707,0.025683587201451127,0.06,1,0.06,1,0.06,1,0.012,1
14,True,1,"(5.0,)",1000,0.1,1.5,50,20,0,0.04162224356079782,0.04382154957656102,0.004,1,0.002,1,0.002,1,0.002,1
14,True,1,"(5.0,)",1000,0.1,1.5,50,20,1,-0.0013694061098652424,0.00470448609060947,0.013,1,0.013,1,0.004,1,0.004,1
15,True,8,"(5.0,)",1000,0.1,1.5,50,20,0,0.04217239181657358,0.05804157501256642,0.032,1,0.016,1,0.016,1,0.016,1
15,True,8,"(5.0,)",1000,0.1,1.5,50,20,1,-0.0008060422840890239,0.03057444729807475,0.032,1,0.016,1,0.016,1,0.016,1
16,True,9,"(5.0,)",1000,0.1,1.5,50,20,0,0.04217239181657358,0.06002522291206552,0.036,1,0.018,1,0.018,1,0.018,1
16,True,9,"(5.0,)",1000,0.1,1.5,50,20,1,-0.0018079836169626945,0.08386635262108845,0.153,1,0.135,1,0.063,1,0.063,1
