DesignPt#,crn_across_solns,sample_size,initial_solution,budget,cost,lambda,warmup,people,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,4,"(5.0,)",1000,0.1,1.5,20,50,0,0.12445063656769563,0.1298948692248194,inf,0,inf,0,0.008,1,0.008,1
1,True,2,"(5.0,)",1000,0.1,1.5,20,50,0,0.11325144206521665,0.11849032847979657,inf,0,inf,0,0.004,1,0.004,1
2,True,2,"(5.0,)",1000,0.1,1.5,20,50,0,0.11325144206521665,0.11849032847979657,inf,0,inf,0,0.004,1,0.004,1
3,True,3,"(5.0,)",1000,0.1,1.5,20,50,0,0.11369245747348952,0.1210824287317736,inf,0,inf,0,0.006,1,0.006,1
4,True,8,"(5.0,)",1000,0.1,1.5,20,50,0,0.11713545319050844,0.1323523767976067,inf,0,inf,0,0.016,1,0.016,1
5,True,10,"(5.0,)",1000,0.1,1.5,20,50,0,0.0,0.13029983503985582,0.95,1,0.95,1,0.02,1,0.02,1
6,True,7,"(5.0,)",1000,0.1,1.5,20,50,0,0.11713545319050844,0.1304502613467194,inf,0,inf,0,0.014,1,0.014,1
7,True,6,"(5.0,)",1000,0.1,1.5,20,50,0,0.11713545319050844,0.12854814589583213,inf,0,inf,0,0.012,1,0.012,1
8,True,6,"(5.0,)",1000,0.1,1.5,20,50,0,0.11713545319050844,0.12854814589583213,inf,0,inf,0,0.012,1,0.012,1
9,True,7,"(5.0,)",1000,0.1,1.5,20,50,0,0.11713545319050844,0.1304502613467194,inf,0,inf,0,0.014,1,0.014,1
10,True,9,"(5.0,)",1000,0.1,1.5,20,50,0,0.11713545319050844,0.13425449224849395,inf,0,inf,0,0.018,1,0.018,1
11,True,9,"(5.0,)",1000,0.1,1.5,20,50,0,0.11713545319050844,0.13425449224849395,inf,0,inf,0,0.018,1,0.018,1
12,True,8,"(5.0,)",1000,0.1,1.5,20,50,0,0.11713545319050844,0.1323523767976067,inf,0,inf,0,0.016,1,0.016,1
13,True,3,"(5.0,)",1000,0.1,1.5,20,50,0,0.11369245747348952,0.1210824287317736,inf,0,inf,0,0.006,1,0.006,1
14,True,1,"(5.0,)",1000,0.1,1.5,20,50,0,0.1159034979107209,0.11828853983128491,inf,0,inf,0,0.002,1,0.002,1
15,True,4,"(5.0,)",1000,0.1,1.5,20,50,0,0.12445063656769563,0.1298948692248194,inf,0,inf,0,0.008,1,0.008,1
16,True,5,"(5.0,)",1000,0.1,1.5,20,50,0,0.11713545319050844,0.12664603044494482,inf,0,inf,0,0.01,1,0.01,1
